indication_prescribing_txt_id,condition,episodicity,severity,schedule_code
"9119","Urinary incontinence","null","null","4535"
"9144","Cystic fibrosis","null","null","4535"
"9204","Iron deficiency anaemia","null","null","4535"
"9225","Bipolar I disorder","null","null","4535"
"9229","Phenylketonuria","null","null","4535"
"9259","Prevention of hepatic encephalopathy","null","null","4535"
"9267","Strongyloidiasis","null","null","4535"
"9268","Onchocerciasis","null","null","4535"
"9269","Chronic renal failure","null","null","4535"
"9277","Asthma","null","null","4535"
"9286","Chronic obstructive pulmonary disease (COPD)","null","null","4535"
"9334","Elevated intra-ocular pressure","null","null","4535"
"9341","Human immunodeficiency virus (HIV) infection","null","null","4535"
"9373","Tuberous sclerosis complex (TSC)","null","null","4535"
"9390","well-differentiated malignant pancreatic neuroendocrine tumour (pNET)","null","Metastatic or unresectable,","4535"
"9407","multiple sclerosis","Clinically definite relapsing-remitting","null","4535"
"9410","Cows'' milk protein enteropathy","null","null","4535"
"9421","heart failure","Chronic","null","4535"
"9424","Severe cows'' milk protein enteropathy with failure to thrive","null","null","4535"
"9425","Combined intolerance to cows'' milk protein, soy protein and protein hydrolysate formulae","null","null","4535"
"9427","Cows'' milk anaphylaxis","null","null","4535"
"9429","Proven combined immunoglobulin E (IgE) mediated allergy to cows'' milk protein and soy protein","null","null","4535"
"9504","Multiple sclerosis","null","null","4535"
"9548","Pathological hypersecretory conditions including Zollinger-Ellison syndrome and idiopathic hypersecretion","null","null","4535"
"9579","Giant cell tumour of bone","null","null","4535"
"9584","Prevention of venous thromboembolism","null","null","4535"
"9624","colorectal cancer","null","Metastatic","4535"
"9658","Proven Pseudomonas aeruginosa infection","null","null","4535"
"9706","coronary heart disease","null","Stable","4535"
"9724","Severe intestinal malabsorption including short bowel syndrome","null","null","4535"
"9729","disabling pain","Chronic","severe","4535"
"9764","Eosinophilic oesophagitis","null","null","4535"
"9790","Cows'' milk protein enteropathy and intolerance to soy protein","null","null","4535"
"9804","Biliary atresia","null","null","4535"
"9805","Chronic liver failure with fat malabsorption","null","null","4535"
"9806","Chylous ascites","null","null","4535"
"9807","Enterokinase deficiency","null","null","4535"
"9808","Proven fat malabsorption","null","null","4535"
"9809","Severe diarrhoea of greater than 2 weeks duration","null","null","4535"
"9817","Chylothorax","null","null","4535"
"9818","breast cancer","null","Locally advanced or metastatic","4535"
"9823","mania","null","Acute","4535"
"9828","non-small cell lung cancer (NSCLC)","null","Stage IIIB (locally advanced) or Stage IV (metastatic)","4535"
"9926","plaque type psoriasis vulgaris","Chronic","stable","4535"
"9946","Migraine attack","null","null","4535"
"9952","Urea cycle disorders","null","null","4535"
"9976","Urethritis","null","null","4535"
"9978","Mobilisation of haematopoietic stem cells","null","null","4535"
"9994","Peroxisomal biogenesis disorders","null","null","4535"
"9995","Pelvic inflammatory disease","null","null","4535"
"9996","Bronchiectasis","null","null","4535"
"9998","bronchitis","Chronic","null","4535"
"10002","acne","null","Severe","4535"
"10054","Proven inborn errors of protein metabolism","null","null","4535"
"10061","ulcerative colitis","Acute","severe","4535"
"10078","Paget disease of bone","null","Symptomatic","4535"
"10080","Hypercalcaemia of malignancy","null","null","4535"
"10086","active juvenile idiopathic arthritis","null","Severe","4535"
"10186","Glioblastoma multiforme","null","null","4535"
"10191","Dietary management of conditions requiring a source of medium chain triglycerides","null","null","4535"
"10205","Homocystinuria","null","null","4535"
"10206","migraine","Chronic","null","4535"
"10215","soft tissue sarcoma","null","Advanced (unresectable and/or metastatic)","4535"
"10242","Unresectable locally advanced or metastatic triple-negative breast cancer","null","null","4535"
"10306","Contraception","null","null","4535"
"10324","scalp psoriasis","null","Moderate to severe","4535"
"10326","Pulmonary arterial hypertension (PAH)","null","null","4535"
"10431","hepatitis B infection","Chronic","null","4535"
"10608","CD30 positive systemic anaplastic large cell lymphoma","null","null","4535"
"10616","Hyperphenylalaninaemia","null","null","4535"
"10646","Benign prostatic hyperplasia","null","null","4535"
"10651","breast cancer","null","Metastatic (Stage IV)","4535"
"10706","Major depressive disorders","null","null","4535"
"10729","Crusted (Norwegian) scabies","null","null","4535"
"10731","Human sarcoptic scabies","null","null","4535"
"10746","Acromegaly","null","null","4535"
"10755","Functional carcinoid tumour","null","null","4535"
"10762","Vasoactive intestinal peptide secreting tumour (VIPoma)","null","null","4535"
"10826","Hyperphosphataemia","null","null","4535"
"10833","Attention deficit hyperactivity disorder","null","null","4535"
"10846","myelofibrosis","null","High risk and intermediate-2 risk","4535"
"10886","Familial homozygous hypercholesterolaemia","null","null","4535"
"10887","Blepharospasm","null","null","4535"
"10943","Chronic lymphocytic leukaemia (CLL)","null","null","4535"
"10956","differentiated thyroid cancer","null","Locally advanced or metastatic","4535"
"11166","Ankylosing spondylitis","null","null","4535"
"11283","cryopyrin associated periodic syndromes (CAPS)","null","Moderate to severe","4535"
"11290","Crohn disease","null","Severe","4535"
"11291","Central precocious puberty","null","null","4535"
"11306","Secondary hyperparathyroidism","null","null","4535"
"11346","Chronic Myeloid Leukaemia (CML)","null","null","4535"
"11376","Acute lymphoblastic leukaemia","null","null","4535"
"11394","Dietary management of conditions requiring a highly restrictive therapeutic diet","null","null","4535"
"11469","Hyperlipoproteinaemia type 1","null","null","4535"
"11470","Long chain fatty acid oxidation disorders","null","null","4535"
"11471","adenocarcinoma of the pancreas","null","Stage IV (metastatic)","4535"
"11483","Isovaleric acidaemia","null","null","4535"
"11492","generalised anxiety disorder (GAD)","null","Moderate to severe","4535"
"11503","social anxiety disorder (social phobia, SAD)","null","Moderate to severe","4535"
"11514","Prophylaxis of invasive fungal infections including both yeasts and moulds","null","null","4535"
"11561","Systemic aspergillosis","null","null","4535"
"11564","Systemic sporotrichosis","null","null","4535"
"11565","Systemic histoplasmosis","null","null","4535"
"11566","Oropharyngeal candidiasis","null","null","4535"
"11567","Oesophageal candidiasis","null","null","4535"
"11581","fungal infections","null","Serious","4535"
"11585","Candida infections","null","Serious","4535"
"11591","invasive mycosis infections","null","Serious","4535"
"11609","Disseminated pulmonary histoplasmosis infection","null","null","4535"
"11613","pulmonary histoplasmosis infection","Chronic","null","4535"
"11640","ulcerative colitis","null","Moderate to severe","4535"
"11686","Severe active rheumatoid arthritis","null","null","4535"
"11715","Atypical haemolytic uraemic syndrome (aHUS)","null","null","4535"
"11847","Maple syrup urine disease","null","null","4535"
"11851","Tyrosinaemia","null","null","4535"
"11873","allergic asthma","Uncontrolled","severe","4535"
"12008","Haemodialysis","null","null","4535"
"12035","Osteoarthritis","null","null","4535"
"12086","Phaeochromocytoma","null","null","4535"
"12087","Neurogenic urinary retention","null","null","4535"
"12109","Idiopathic pulmonary fibrosis","null","null","4535"
"12130","malignant gastrointestinal stromal tumour","null","Metastatic or unresectable","4535"
"12168","Acute promyelocytic leukaemia","null","null","4535"
"12176","squamous cell cancer of the larynx, oropharynx or hypopharynx","null","Stage III, IVa or IVb","4535"
"12226","Ulcerative colitis","null","null","4535"
"12269","Androgen deficiency","null","null","4535"
"12284","Micropenis","null","null","4535"
"12285","Pubertal induction","null","null","4535"
"12286","Constitutional delay of growth or puberty","null","null","4535"
"12312","Breast cancer","null","null","4535"
"12320","carcinoma of the prostate","null","Locally advanced (stage C) or metastatic (stage D)","4535"
"12321","Endometriosis","null","null","4535"
"12338","breast cancer","null","Early","4535"
"12427","pancreatic neuroendocrine tumour (pNET)","null","Metastatic or unresectable, well-differentiated malignant","4535"
"12547","Carcinoma of the prostate","null","null","4535"
"12567","acne vulgaris","null","Severe","4535"
"12587","Corticosteroid-responsive dermatoses","null","null","4535"
"12607","Hydatid disease","null","null","4535"
"12647","Tapeworm infestation","null","null","4535"
"12667","Whipworm infestation","null","null","4535"
"12669","Hookworm infestation","null","null","4535"
"12672","Panic disorder","null","null","4535"
"12673","Pathological hyperprolactinaemia","null","null","4535"
"12707","Local intra-articular or peri-articular infiltration","null","null","4535"
"12727","Pneumocystis carinii pneumonia","null","Mild to moderate","4535"
"12731","Plasmodium falciparum malaria","null","Confirmed or suspected","4535"
"12742","Cervicitis","null","null","4535"
"12743","Trachoma","null","null","4535"
"12744","Eczema","null","null","4535"
"12749","Alopecia areata","null","null","4535"
"12750","Infection","null","null","4535"
"12751","Granulomata","null","null","4535"
"12758","Keloid","null","null","4535"
"12759","Septicaemia, suspected","null","null","4535"
"12760","Septicaemia, proven","null","null","4535"
"12761","Lichen planus hypertrophic","null","null","4535"
"12762","Lichen simplex chronicus","null","null","4535"
"12773","psoriatic arthritis","null","Severe","4535"
"12775","discoid lupus erythematosus","null","Chronic","4535"
"12776","Necrobiosis lipoidica","null","null","4535"
"12777","Psoriasis","null","null","4535"
"12778","neoplasia (late stage)","null","Malignant","4535"
"12811","active psoriatic arthritis","null","Severe","4535"
"12901","gout","null","Chronic","4535"
"12920","Stimulation of follicular development","null","null","4535"
"12934","Chronic hepatitis C infection","null","null","4535"
"13014","mania or mixed episodes","null","Acute","4535"
"13030","Patients unable to take a solid dose form of an ACE inhibitor.","null","null","4535"
"13031","behavioural disturbances","null","Severe","4535"
"13047","Behavioural disturbances","null","null","4535"
"13075","Upper and lower respiratory tract infections","null","null","4535"
"13076","Myoclonic epilepsy","null","null","4535"
"13091","heart failure","null","Moderate to severe","4535"
"13095","Patients receiving this drug as a pharmaceutical benefit prior to 1 August 2002","null","null","4535"
"13097","intractable psoriasis","null","Severe","4535"
"13101","disorders of keratinisation","null","Severe","4535"
"13102","Insomnia","null","null","4535"
"13111","Rheumatoid arthritis","null","null","4535"
"13116","Prevention of the onset of lactation","null","null","4535"
"13123","Cellulitis","null","null","4535"
"13167","Anxiety","null","null","4535"
"13187","Herpes simplex keratitis","null","null","4535"
"13188","kidney disease","null","Chronic","4535"
"13198","genital herpes","Initial","moderate to severe","4535"
"13211","genital herpes","Recurrent","moderate to severe","4535"
"13251","Herpes zoster","null","null","4535"
"13270","Endocarditis","null","null","4535"
"13275","Idiopathic menorrhagia","null","null","4535"
"13280","Herpes zoster ophthalmicus","null","null","4535"
"13387","Mucositis","null","null","4535"
"13391","Painful mouth","null","null","4535"
"13397","Endophthalmitis","null","null","4535"
"13405","Hypercalcaemia","null","null","4535"
"13407","Eradication of Helicobacter pylori","null","null","4535"
"13414","Antibiotic associated pseudomembranous colitis","null","null","4535"
"13427","cardiac arrhythmias","null","Severe","4535"
"13471","Angina","null","null","4535"
"13548","Mycobacterium avium complex infection","null","null","4535"
"13563","Terminal disease","null","null","4535"
"13567","Refractory phobic or anxiety states","null","null","4535"
"13571","Management of rejection in patients following organ or tissue transplantation","null","null","4535"
"13575","atopic dermatitis","null","Severe","4535"
"13581","psoriasis","null","Severe","4535"
"13585","Nephrotic syndrome","null","null","4535"
"13614","Gonorrhoea","null","null","4535"
"13616","Respiratory tract infection","null","null","4535"
"13632","Bacterial gastroenteritis","null","null","4535"
"13661","Bordetella pertussis","null","null","4535"
"13663","malignant neoplasia","null","Terminal","4535"
"13664","Anorectal congenital abnormalities","null","null","4535"
"13665","Megacolon","null","null","4535"
"13666","Opioid-induced constipation","null","null","4535"
"13684","Type 1 diabetes","null","null","4535"
"13687","Coronary artery disease","null","null","4535"
"13688","Hypoparathyroidism","null","null","4535"
"13689","Hypophosphataemic rickets","null","null","4535"
"13690","Vitamin D-resistant rickets","null","null","4535"
"13694","Pyridoxine non-responsive homocystinuria","null","null","4535"
"13695","suppurative otitis media","null","Chronic","4535"
"13700","Atypical mycobacterial infections","null","null","4535"
"13715","Acute myocardial infarction","null","null","4535"
"13716","Cataplexy","null","null","4535"
"13723","Obsessive-compulsive disorder","null","null","4535"
"13725","Phobic disorders","null","null","4535"
"13729","High risk of unstable angina","null","null","4535"
"13742","Non-Q-wave myocardial infarction","null","null","4535"
"13745","Crohn disease","null","null","4535"
"13748","Thiamine deficiency","null","null","4535"
"13750","Hypomagnesaemia","null","null","4535"
"13751","renal disease","null","Chronic","4535"
"13758","Proctitis","null","null","4535"
"13786","Patients requiring doses greater than 20 mg per week","null","null","4535"
"13790","Acute myelogenous leukaemia (AML)","null","null","4535"
"13794","carcinoma of the prostate","null","Metastatic (stage D)","4535"
"13803","Endometrial cancer","null","null","4535"
"13807","disabling pain","null","Severe","4535"
"13816","Anticipated emergency treatment of an acute attack of hereditary angioedema","null","null","4535"
"13848","supra-ventricular cardiac arrhythmias","null","Serious","4535"
"13867","Cryptococcal meningitis","null","null","4535"
"13870","ventricular cardiac arrhythmias","null","Serious","4535"
"13900","bacterial enterocolitis","null","Acute","4535"
"13903","urinary tract infection","null","Complicated","4535"
"13917","refractory hypertension","null","Severe","4535"
"13918","staphylococcal infections","null","Serious","4535"
"13933","androgenisation","null","Moderate to severe","4535"
"13948","Chronic arthropathies","null","null","4535"
"13949","pain","Persistent","null","4535"
"13953","aspergillosis","null","Invasive","4535"
"13954","Analgesia or fever","null","null","4535"
"13961","Fungal infection","null","null","4535"
"14043","Heart failure with a left ventricular ejection fraction of 40% or less","null","null","4535"
"14052","Definite or probable invasive aspergillosis","null","null","4535"
"14054","allergic reaction with anaphylaxis","null","Acute","4535"
"14088","Fat malabsorption","null","null","4535"
"14109","Methylmalonic acidaemia","null","null","4535"
"14113","Propionic acidaemia","null","null","4535"
"14135","Meningococcal disease","null","null","4535"
"14140","Haemophilus influenzae type B","null","null","4535"
"14143","Leprosy","null","null","4535"
"14148","Epileptic seizures","null","null","4535"
"14153","Thyroid cancer","null","null","4535"
"14154","Hypothyroidism","null","null","4535"
"14167","streptococcal infections (including rheumatic fever)","Recurrent","null","4535"
"14171","staphylococcal infection","null","Serious","4535"
"14190","Gyrate atrophy of the choroid and retina","null","null","4535"
"14207","Familial hypophosphataemia","null","null","4535"
"14208","facial lipoatrophy","null","Severe","4535"
"14228","Partial epileptic seizures","null","null","4535"
"14229","Idiopathic generalised epilepsy with primary generalised tonic-clonic seizures","null","null","4535"
"14247","Dysmenorrhoea","null","null","4535"
"14248","Menorrhagia","null","null","4535"
"14253","Seizures of the Lennox-Gastaut syndrome","null","null","4535"
"14256","Migraine","null","null","4535"
"14335","Hypocalcaemia","null","null","4535"
"14336","calcium malabsorption","null","Proven","4535"
"14339","Adverse effects occurring with all of the base-priced drugs","null","null","4535"
"14340","Drug interactions occurring with all of the base-priced drugs","null","null","4535"
"14341","Drug interactions expected to occur with all of the base-priced drugs","null","null","4535"
"14342","Transfer to a base-priced drug would cause patient confusion resulting in problems with compliance","null","null","4535"
"14346","Obesity","null","null","4535"
"14370","Seizures","null","null","4535"
"14389","Onychomycosis","null","null","4535"
"14410","Tinea pedis","null","null","4535"
"14418","Refractory neuropathic pain","null","null","4535"
"14436","Uveitis","null","null","4535"
"14437","For use in a hospital","null","null","4535"
"14457","Depression","null","null","4535"
"14465","Major depression","null","null","4535"
"14492","Epilepsy","null","null","4535"
"14497","traumatic skin lesions","Secondarily infected","null","4535"
"14506","Stasis ulcers","null","null","4535"
"14507","cystic acne","null","Severe","4535"
"14513","Wounds","null","null","4535"
"14519","Atopic dermatitis","null","null","4535"
"14538","Anovulatory infertility","null","null","4535"
"14539","Patients undergoing in-vitro fertilisation","null","null","4535"
"14554","depression","null","Severe","4535"
"14556","Pseudomonas aeruginosa infection","null","null","4535"
"14558","Narcolepsy","null","null","4535"
"14563","Infertility","null","null","4535"
"14589","Combined deficiency of human growth hormone and gonadotrophins","null","null","4535"
"14593","Hypogonadism or delayed puberty","null","null","4535"
"14608","Detrusor overactivity","null","null","4535"
"14622","Urinary symptoms","null","null","4535"
"14623","Erectile dysfunction","null","null","4535"
"14632","Preservation of bone mineral density","null","null","4535"
"14646","carcinoma of the prostate","null","Locally advanced (equivalent to stage C) or metastatic (equivalent to stage D)","4535"
"14651","Cranial diabetes insipidus","null","null","4535"
"14652","Primary nocturnal enuresis","null","null","4535"
"14659","Glycogen storage disease","null","null","4535"
"14661","HER2 positive breast cancer","null","Metastatic (Stage IV)","4535"
"14662","Intractable childhood epilepsy","null","null","4535"
"14682","Ablation of thyroid remnant tissue","null","null","4535"
"14696","Malaria","null","null","4535"
"14718","oral or labial herpes","Recurrent","moderate to severe","4535"
"14757","Corneal grafts","null","null","4535"
"14761","superficial urothelial carcinoma of the bladder","null","Primary and relapsing","4535"
"14765","HER2 positive breast cancer","null","null","4535"
"14785","Hairy cell leukaemia","null","null","4535"
"14796","Cerebrospinal fluid glucose transporter defect","null","null","4535"
"14818","Management of transplant rejection","null","null","4535"
"14822","rheumatoid arthritis","null","Severe active","4535"
"14844","Parkinson disease","null","Advanced","4535"
"14877","restless legs syndrome","Primary","severe","4535"
"14888","Parkinson disease","Late stage","null","4535"
"14898","Chronic Myelomonocytic Leukaemia","null","null","4535"
"14902","Acute Myeloid Leukaemia","null","null","4535"
"14907","Anaemia associated with intrinsic renal disease","null","null","4535"
"14908","Hyperkinetic extrapyramidal disorders","null","null","4535"
"14916","Alcohol dependence","null","null","4535"
"14965","Staphylococcus aureus infection","null","null","4535"
"14985","asthma","null","Severe chronic","4535"
"15043","Crohn disease","null","Mild to moderate","4535"
"15093","Management of cardiac allograft rejection","null","null","4535"
"15106","Management of renal allograft rejection","null","null","4535"
"15139","Amyotrophic lateral sclerosis","null","null","4535"
"15169","Urothelial toxicity","null","null","4535"
"15176","Megaloblastic anaemias","null","null","4535"
"15206","Cytomegalovirus retinitis","null","null","4535"
"15316","Venous ulcer","null","null","4535"
"15330","Cytomegalovirus infection and disease","null","null","4535"
"15425","Fungal or yeast infection","null","null","4535"
"15458","Dermatophyte infection","null","null","4535"
"15460","Infection where positive bacteriological evidence confirms that this antibiotic is an appropriate therapeutic agent","null","null","4535"
"15461","iron overload","Chronic","null","4535"
"15465","Infection where resistance to amoxicillin is suspected","null","null","4535"
"15466","Infections where resistance to amoxicillin is proven","null","null","4535"
"15468","Iron overload","null","null","4535"
"15477","Infection suspected or proven to be due to a susceptible organism","null","null","4535"
"15479","Disorders of erythropoiesis","null","null","4535"
"15483","Gram-positive coccal infections","null","null","4535"
"15485","Kaposi sarcoma","null","null","4535"
"15603","Patients requiring administration of fluorouracil by intravenous infusion","null","null","4535"
"15604","Patients requiring administration of fluorouracil by intravenous injection","null","null","4535"
"15605","Germ cell neoplasms","null","null","4535"
"15606","Lymphoma","null","null","4535"
"15608","Patients receiving treatment with a high dose regimen","null","null","4535"
"15647","thrombocytopenia","null","Severe","4535"
"15683","Short stature and slow growth","null","null","4535"
"15684","Assisted Reproductive Technology","null","null","4535"
"15745","Short stature associated with biochemical growth hormone deficiency","null","null","4535"
"15761","Growth retardation secondary to an intracranial lesion, or cranial irradiation","null","null","4535"
"15789","Risk of hypoglycaemia secondary to growth hormone deficiency in neonates/infants","null","null","4535"
"15792","glutaric aciduria type 1","null","Proven","4535"
"15799","Biochemical growth hormone deficiency and precocious puberty","null","null","4535"
"15824","Hypothalamic-pituitary disease secondary to a structural lesion, with hypothalamic obesity driven growth","null","null","4535"
"15835","Bone or joint infection","null","null","4535"
"15842","Epididymo-orchitis","null","null","4535"
"15843","Prostatitis","null","null","4535"
"15844","Perichondritis of the pinna","null","null","4535"
"15846","Short stature associated with Turner syndrome","null","null","4535"
"15858","Short stature due to short stature homeobox (SHOX) gene disorders","null","null","4535"
"15865","Anaerobic infections","null","null","4535"
"15870","Short stature associated with chronic renal insufficiency","null","null","4535"
"15879","Short stature and poor body composition due to Prader-Willi syndrome","null","null","4535"
"15880","granulomatous disease","null","Chronic","4535"
"15917","Diabetic macular oedema (DMO)","null","null","4535"
"15998","myelofibrosis","null","Intermediate-1 risk","4535"
"16238","congenital neutropenia","null","Severe","4535"
"16244","chronic neutropenia","null","Severe","4535"
"16249","cyclical neutropenia","Chronic","null","4535"
"16253","Chemotherapy-induced neutropenia","null","null","4535"
"16379","Branch retinal vein occlusion with macular oedema","null","null","4535"
"16387","Central retinal vein occlusion with macular oedema","null","null","4535"
"16697","chronic spasticity","null","Severe","4535"
"16770","Systemic juvenile idiopathic arthritis","null","null","4535"
"17141","Crohn disease","null","Moderate to severe","4535"
"17194","Bronchospasm and dyspnoea associated with chronic obstructive pulmonary disease","null","null","4535"
"17467","chronic spontaneous urticaria","null","Severe","4535"
"17474","Follicular lymphoma","null","null","4535"
"17704","follicular B-cell non-Hodgkin''s lymphoma","Refractory","null","4535"
"17770","Chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL)","null","null","4535"
"17773","HER2 positive adenocarcinoma of the stomach or gastro-oesophageal junction","null","Metastatic (Stage IV)","4535"
"18064","For treatment of a patient identifying as Aboriginal or Torres Strait Islander","null","null","4535"
"18082","For use in patients receiving palliative care","null","null","4535"
"18191","thromboembolic pulmonary hypertension (CTEPH)","Chronic","null","4535"
"18274","asthma","null","Severe","4535"
"18415","basal cell carcinoma (BCC)","null","Metastatic or locally advanced","4535"
"18443","Nausea or gastric stasis","null","null","4535"
"18617","psoriasis","null","Severe","4535"
"18627","Reduction of breast cancer risk","null","null","4535"
"18700","Osteomyelitis","null","null","4535"
"18774","Prophylaxis of Pneumocystis jiroveci pneumonia","null","null","4535"
"18881","hidradenitis suppurativa","null","Moderate to severe","4535"
"18882","Diarrhoea","null","null","4535"
"18951","pressure injury","null","Stage 2 and above","4535"
"19041","Autosomal dominant polycystic kidney disease (ADPKD)","null","null","4535"
"19043","growth hormone deficiency","null","Severe","4535"
"19044","Hodgkin lymphoma","null","Relapsed or Refractory","4535"
"19048","Bronchospasm","null","null","4535"
"19283","Dermatofibrosarcoma protuberans","null","null","4535"
"19308","Malignant gastrointestinal stromal tumour","null","null","4535"
"19318","Cutaneous T-cell lymphoma","null","null","4535"
"19326","Chronic eosinophilic leukaemia or Hypereosinophilic syndrome","null","null","4535"
"19339","Myelodysplastic or myeloproliferative disorder","null","null","4535"
"19354","systemic mastocytosis with eosinophilia","null","Aggressive","4535"
"19431","liposarcoma","null","Advanced (unresectable and/or metastatic)","4535"
"19444","Non-functional gastroenteropancreatic neuroendocrine tumour (GEP-NET)","null","null","4535"
"19558","Mobilisation of peripheral blood progenitor cells","null","null","4535"
"19583","Assisting autologous peripheral blood progenitor cell transplantation","null","null","4535"
"19584","Assisting bone marrow transplantation","null","null","4535"
"19751","Rehydration in intestinal failure","null","null","4535"
"20177","Fabry disease","null","null","4535"
"20845","Pre-exposure prophylaxis (PrEP) against human immunodeficiency virus (HIV) infection","null","null","4535"
"20979","Cutaneous T-cell lymphoma","null","Erythrodermic stage III-IVa T4 M0","4535"
"21155","Familial heterozygous hypercholesterolaemia","null","null","4535"
"21156","atherosclerotic disease","Chronic","stable","4535"
"21163","Spinal muscular atrophy (SMA)","null","null","4535"
"21171","urothelial cancer","null","Locally advanced (Stage III) or metastatic (Stage IV)","4535"
"21264","Hypsarrhythmia and/or infantile spasms","null","null","4535"
"21331","non-small cell lung cancer (NSCLC)","null","Stage IV (metastatic)","4535"
"21338","Peripheral T-cell Lymphoma","null","Relapsed or chemotherapy refractory","4535"
"21413","Anticipated premature ovarian failure","null","null","4535"
"21449","Mantle cell lymphoma","null","null","4535"
"21757","Non-infectious posterior segment uveitis","null","null","4535"
"22151","atopic dermatitis","Chronic","severe","4535"
"22294","squamous cell carcinoma of the oral cavity, pharynx or larynx","null","Recurrent or metastatic","4535"
"22322","CD30 positive cutaneous T-cell lymphoma","null","null","4535"
"22327","Fistulising Crohn disease","null","Complex refractory","4535"
"22531","Castration resistant non-metastatic carcinoma of the prostate","null","null","4535"
"22542","spasticity of the upper limb following an acute event","null","Moderate to severe","4535"
"22543","spasticity of the lower limb following an acute event","null","Moderate to severe","4535"
"22560","follicular lymphoma","null","Stage II bulky or Stage III/IV","4535"
"22682","mantle cell lymphoma","Previously untreated","stage III or IV","4535"
"22684","indolent non-Hodgkin''s lymphoma","Previously untreated","stage II bulky or stage III or IV","4535"
"22771","primary mediastinal B-cell lymphoma","Relapsed or refractory","null","4535"
"22859","Stage III non-small cell lung cancer","null","Unresectable","4535"
"22964","Non-radiographic axial spondyloarthritis","null","null","4535"
"23005","Refractory seizures associated with tuberous sclerosis complex","null","null","4535"
"23211","multiple sclerosis","null","Relapsing remitting","4535"
"23683","hepatocellular carcinoma","null","Advanced (unresectable) Barcelona Clinic Liver Cancer Stage B or Stage C","4535"
"23689","hepatocellular carcinoma","null","Advanced Barcelona Clinic Liver Cancer Stage B or Stage C","4535"
"23831","Merkel Cell Carcinoma","null","Stage IV (metastatic)","4535"
"23851","Breathlessness","null","Chronic","4535"
"23976","Hyperphenylalaninaemia (HPA) due to phenylketonuria (PKU)","null","null","4535"
