criteria_prescribing_txt_id,criteria_type,parameter_relationship,schedule_code
"9245","CLINICAL","ANY","4535"
"9256","CLINICAL","ANY","4535"
"9261","TREATMENT","ANY","4535"
"9263","CLINICAL","ANY","4535"
"9265","CLINICAL","ANY","4535"
"9271","POPULATION","ANY","4535"
"9275","CLINICAL","ANY","4535"
"9336","CLINICAL","ANY","4535"
"9343","CLINICAL","ANY","4535"
"9345","CLINICAL","ANY","4535"
"9347","CLINICAL","ANY","4535"
"9349","CLINICAL","ANY","4535"
"9376","CLINICAL","ANY","4535"
"9378","CLINICAL","ANY","4535"
"9383","CLINICAL","ANY","4535"
"9399","CLINICAL","ANY","4535"
"9405","CLINICAL","ANY","4535"
"9415","CLINICAL","ANY","4535"
"9420","POPULATION","ANY","4535"
"9431","TREATMENT","ANY","4535"
"9433","TREATMENT","ANY","4535"
"9437","TREATMENT","ANY","4535"
"9439","CLINICAL","ANY","4535"
"9442","TREATMENT","ANY","4535"
"9445","TREATMENT","ANY","4535"
"9448","TREATMENT","ANY","4535"
"9451","CLINICAL","ANY","4535"
"9454","CLINICAL","ANY","4535"
"9457","CLINICAL","ANY","4535"
"9459","CLINICAL","ANY","4535"
"9461","CLINICAL","ANY","4535"
"9463","CLINICAL","ANY","4535"
"9465","CLINICAL","ANY","4535"
"9481","CLINICAL","ANY","4535"
"9507","CLINICAL","ANY","4535"
"9512","CLINICAL","ANY","4535"
"9515","CLINICAL","ANY","4535"
"9539","CLINICAL","ANY","4535"
"9544","CLINICAL","ANY","4535"
"9546","POPULATION","ANY","4535"
"9586","TREATMENT","ANY","4535"
"9591","TREATMENT","ANY","4535"
"9593","CLINICAL","ANY","4535"
"9596","CLINICAL","ANY","4535"
"9599","CLINICAL","ANY","4535"
"9602","CLINICAL","ANY","4535"
"9628","CLINICAL","ANY","4535"
"9653","CLINICAL","ANY","4535"
"9656","CLINICAL","ANY","4535"
"9662","CLINICAL","ANY","4535"
"9665","CLINICAL","ANY","4535"
"9673","CLINICAL","ANY","4535"
"9681","CLINICAL","ANY","4535"
"9692","CLINICAL","ANY","4535"
"9704","CLINICAL","ANY","4535"
"9708","CLINICAL","ANY","4535"
"9710","CLINICAL","ANY","4535"
"9727","CLINICAL","ANY","4535"
"9735","CLINICAL","ANY","4535"
"9740","CLINICAL","ANY","4535"
"9766","TREATMENT","ANY","4535"
"9768","CLINICAL","ANY","4535"
"9770","POPULATION","ANY","4535"
"9776","CLINICAL","ANY","4535"
"9780","CLINICAL","ANY","4535"
"9787","CLINICAL","ANY","4535"
"9792","TREATMENT","ANY","4535"
"9794","CLINICAL","ANY","4535"
"9800","TREATMENT","ANY","4535"
"9814","POPULATION","ANY","4535"
"9815","CLINICAL","ANY","4535"
"9825","CLINICAL","ANY","4535"
"9830","CLINICAL","ANY","4535"
"9833","CLINICAL","ANY","4535"
"9836","POPULATION","ANY","4535"
"9847","POPULATION","ANY","4535"
"9907","CLINICAL","ANY","4535"
"9911","POPULATION","ANY","4535"
"9914","CLINICAL","ANY","4535"
"9917","CLINICAL","ANY","4535"
"9948","CLINICAL","ANY","4535"
"9971","CLINICAL","ANY","4535"
"9980","CLINICAL","ANY","4535"
"9983","CLINICAL","ANY","4535"
"9985","CLINICAL","ANY","4535"
"10000","POPULATION","ANY","4535"
"10008","CLINICAL","ANY","4535"
"10053","CLINICAL","ANY","4535"
"10056","CLINICAL","ANY","4535"
"10070","CLINICAL","ANY","4535"
"10076","CLINICAL","ANY","4535"
"10082","CLINICAL","ANY","4535"
"10089","TREATMENT","ANY","4535"
"10112","TREATMENT","ANY","4535"
"10213","CLINICAL","ANY","4535"
"10217","CLINICAL","ANY","4535"
"10219","CLINICAL","ANY","4535"
"10235","TREATMENT","ANY","4535"
"10299","CLINICAL","ANY","4535"
"10329","CLINICAL","ANY","4535"
"10331","POPULATION","ANY","4535"
"10335","CLINICAL","ANY","4535"
"10347","CLINICAL","ANY","4535"
"10351","POPULATION","ANY","4535"
"10361","CLINICAL","ANY","4535"
"10363","CLINICAL","ANY","4535"
"10368","CLINICAL","ANY","4535"
"10386","TREATMENT","ANY","4535"
"10405","CLINICAL","ANY","4535"
"10433","CLINICAL","ANY","4535"
"10435","CLINICAL","ANY","4535"
"10438","CLINICAL","ANY","4535"
"10440","CLINICAL","ANY","4535"
"10448","CLINICAL","ANY","4535"
"10450","CLINICAL","ANY","4535"
"10456","CLINICAL","ANY","4535"
"10460","CLINICAL","ANY","4535"
"10463","CLINICAL","ANY","4535"
"10472","CLINICAL","ANY","4535"
"10475","TREATMENT","ANY","4535"
"10477","CLINICAL","ANY","4535"
"10541","TREATMENT","ANY","4535"
"10594","CLINICAL","ANY","4535"
"10601","CLINICAL","ANY","4535"
"10620","CLINICAL","ANY","4535"
"10658","POPULATION","ANY","4535"
"10659","CLINICAL","ANY","4535"
"10660","CLINICAL","ANY","4535"
"10662","CLINICAL","ANY","4535"
"10667","CLINICAL","ANY","4535"
"10687","CLINICAL","ANY","4535"
"10727","CLINICAL","ANY","4535"
"10749","CLINICAL","ANY","4535"
"10751","CLINICAL","ANY","4535"
"10753","CLINICAL","ANY","4535"
"10757","CLINICAL","ANY","4535"
"10759","CLINICAL","ANY","4535"
"10765","CLINICAL","ANY","4535"
"10767","CLINICAL","ANY","4535"
"10771","CLINICAL","ANY","4535"
"10773","CLINICAL","ANY","4535"
"10776","CLINICAL","ANY","4535"
"10778","CLINICAL","ANY","4535"
"10780","CLINICAL","ANY","4535"
"10782","CLINICAL","ANY","4535"
"10788","CLINICAL","ANY","4535"
"10790","POPULATION","ANY","4535"
"10796","CLINICAL","ANY","4535"
"10800","CLINICAL","ANY","4535"
"10828","CLINICAL","ANY","4535"
"10832","CLINICAL","ANY","4535"
"10842","POPULATION","ANY","4535"
"10848","CLINICAL","ANY","4535"
"10859","CLINICAL","ANY","4535"
"10861","CLINICAL","ANY","4535"
"10877","CLINICAL","ANY","4535"
"10880","CLINICAL","ANY","4535"
"10947","CLINICAL","ANY","4535"
"10959","CLINICAL","ANY","4535"
"10961","CLINICAL","ANY","4535"
"10963","CLINICAL","ANY","4535"
"10972","CLINICAL","ANY","4535"
"10987","CLINICAL","ANY","4535"
"10999","CLINICAL","ANY","4535"
"11106","CLINICAL","ANY","4535"
"11155","CLINICAL","ANY","4535"
"11189","CLINICAL","ANY","4535"
"11196","CLINICAL","ANY","4535"
"11203","CLINICAL","ANY","4535"
"11212","CLINICAL","ANY","4535"
"11237","CLINICAL","ANY","4535"
"11245","CLINICAL","ANY","4535"
"11253","CLINICAL","ANY","4535"
"11262","CLINICAL","ANY","4535"
"11280","TREATMENT","ANY","4535"
"11294","TREATMENT","ANY","4535"
"11308","CLINICAL","ANY","4535"
"11327","CLINICAL","ANY","4535"
"11332","TREATMENT","ANY","4535"
"11365","CLINICAL","ANY","4535"
"11371","CLINICAL","ANY","4535"
"11381","CLINICAL","ANY","4535"
"11383","CLINICAL","ANY","4535"
"11389","CLINICAL","ANY","4535"
"11404","CLINICAL","ANY","4535"
"11406","POPULATION","ANY","4535"
"11438","CLINICAL","ANY","4535"
"11466","CLINICAL","ANY","4535"
"11475","CLINICAL","ANY","4535"
"11476","CLINICAL","ANY","4535"
"11478","CLINICAL","ANY","4535"
"11485","CLINICAL","ANY","4535"
"11494","CLINICAL","ANY","4535"
"11496","CLINICAL","ANY","4535"
"11501","CLINICAL","ANY","4535"
"11507","CLINICAL","ANY","4535"
"11510","CLINICAL","ANY","4535"
"11518","CLINICAL","ANY","4535"
"11530","CLINICAL","ANY","4535"
"11535","CLINICAL","ANY","4535"
"11538","CLINICAL","ANY","4535"
"11569","CLINICAL","ANY","4535"
"11571","CLINICAL","ANY","4535"
"11573","CLINICAL","ANY","4535"
"11593","CLINICAL","ANY","4535"
"11600","CLINICAL","ANY","4535"
"11607","CLINICAL","ANY","4535"
"11611","CLINICAL","ANY","4535"
"11646","CLINICAL","ANY","4535"
"11670","CLINICAL","ANY","4535"
"11694","CLINICAL","ANY","4535"
"11726","CLINICAL","ANY","4535"
"11728","CLINICAL","ANY","4535"
"11730","CLINICAL","ANY","4535"
"11750","CLINICAL","ANY","4535"
"11754","CLINICAL","ANY","4535"
"11775","CLINICAL","ANY","4535"
"11786","CLINICAL","ANY","4535"
"11797","CLINICAL","ANY","4535"
"11891","CLINICAL","ANY","4535"
"11916","CLINICAL","ANY","4535"
"11930","CLINICAL","ANY","4535"
"11978","CLINICAL","ANY","4535"
"11980","CLINICAL","ANY","4535"
"11983","CLINICAL","ANY","4535"
"11989","CLINICAL","ANY","4535"
"12000","CLINICAL","ANY","4535"
"12002","CLINICAL","ANY","4535"
"12028","CLINICAL","ANY","4535"
"12049","CLINICAL","ANY","4535"
"12113","POPULATION","ANY","4535"
"12127","CLINICAL","ANY","4535"
"12134","CLINICAL","ANY","4535"
"12147","CLINICAL","ANY","4535"
"12170","CLINICAL","ANY","4535"
"12172","CLINICAL","ANY","4535"
"12174","CLINICAL","ANY","4535"
"12178","CLINICAL","ANY","4535"
"12180","CLINICAL","ANY","4535"
"12183","CLINICAL","ANY","4535"
"12185","CLINICAL","ANY","4535"
"12187","CLINICAL","ANY","4535"
"12201","CLINICAL","ANY","4535"
"12233","CLINICAL","ANY","4535"
"12247","CLINICAL","ANY","4535"
"12256","CLINICAL","ANY","4535"
"12273","CLINICAL","ANY","4535"
"12275","POPULATION","ANY","4535"
"12278","CLINICAL","ANY","4535"
"12280","CLINICAL","ANY","4535"
"12315","POPULATION","ANY","4535"
"12323","CLINICAL","ANY","4535"
"12325","CLINICAL","ANY","4535"
"12372","CLINICAL","ANY","4535"
"12389","CLINICAL","ANY","4535"
"12429","CLINICAL","ANY","4535"
"12530","CLINICAL","ANY","4535"
"12537","CLINICAL","ANY","4535"
"12680","CLINICAL","ANY","4535"
"12683","CLINICAL","ANY","4535"
"12686","CLINICAL","ANY","4535"
"12689","CLINICAL","ANY","4535"
"12736","CLINICAL","ANY","4535"
"12740","CLINICAL","ANY","4535"
"12756","CLINICAL","ANY","4535"
"12768","CLINICAL","ANY","4535"
"12771","CLINICAL","ANY","4535"
"12783","CLINICAL","ANY","4535"
"12786","CLINICAL","ANY","4535"
"12808","CLINICAL","ANY","4535"
"12842","CLINICAL","ANY","4535"
"12848","CLINICAL","ANY","4535"
"12862","TREATMENT","ANY","4535"
"12906","CLINICAL","ANY","4535"
"12908","CLINICAL","ANY","4535"
"12924","CLINICAL","ANY","4535"
"12955","CLINICAL","ANY","4535"
"12971","CLINICAL","ANY","4535"
"13010","CLINICAL","ANY","4535"
"13012","CLINICAL","ANY","4535"
"13020","CLINICAL","ANY","4535"
"13023","CLINICAL","ANY","4535"
"13025","CLINICAL","ANY","4535"
"13028","CLINICAL","ANY","4535"
"13035","CLINICAL","ANY","4535"
"13037","CLINICAL","ANY","4535"
"13045","CLINICAL","ANY","4535"
"13049","CLINICAL","ANY","4535"
"13053","CLINICAL","ANY","4535"
"13069","POPULATION","ANY","4535"
"13089","CLINICAL","ANY","4535"
"13093","CLINICAL","ANY","4535"
"13118","CLINICAL","ANY","4535"
"13120","CLINICAL","ANY","4535"
"13127","CLINICAL","ANY","4535"
"13131","CLINICAL","ANY","4535"
"13134","CLINICAL","ANY","4535"
"13190","CLINICAL","ANY","4535"
"13249","CLINICAL","ANY","4535"
"13253","CLINICAL","ANY","4535"
"13277","CLINICAL","ANY","4535"
"13328","CLINICAL","ANY","4535"
"13348","CLINICAL","ANY","4535"
"13389","CLINICAL","ANY","4535"
"13400","CLINICAL","ANY","4535"
"13403","CLINICAL","ANY","4535"
"13411","CLINICAL","ANY","4535"
"13418","CLINICAL","ANY","4535"
"13422","CLINICAL","ANY","4535"
"13453","CLINICAL","ANY","4535"
"13488","CLINICAL","ANY","4535"
"13493","CLINICAL","ANY","4535"
"13552","CLINICAL","ANY","4535"
"13561","CLINICAL","ANY","4535"
"13580","TREATMENT","ANY","4535"
"13591","TREATMENT","ANY","4535"
"13595","TREATMENT","ANY","4535"
"13606","POPULATION","ANY","4535"
"13622","CLINICAL","ANY","4535"
"13627","CLINICAL","ANY","4535"
"13652","CLINICAL","ANY","4535"
"13669","CLINICAL","ANY","4535"
"13671","CLINICAL","ANY","4535"
"13699","CLINICAL","ANY","4535"
"13707","CLINICAL","ANY","4535"
"13721","CLINICAL","ANY","4535"
"13733","CLINICAL","ANY","4535"
"13740","CLINICAL","ANY","4535"
"13744","CLINICAL","ANY","4535"
"13769","TREATMENT","ANY","4535"
"13773","CLINICAL","ANY","4535"
"13778","CLINICAL","ANY","4535"
"13792","TREATMENT","ANY","4535"
"13797","CLINICAL","ANY","4535"
"13812","POPULATION","ANY","4535"
"13818","CLINICAL","ANY","4535"
"13820","CLINICAL","ANY","4535"
"13829","CLINICAL","ANY","4535"
"13878","CLINICAL","ANY","4535"
"13881","CLINICAL","ANY","4535"
"13889","CLINICAL","ANY","4535"
"13920","CLINICAL","ANY","4535"
"13923","CLINICAL","ANY","4535"
"13928","CLINICAL","ANY","4535"
"13935","CLINICAL","ANY","4535"
"13937","CLINICAL","ANY","4535"
"13941","CLINICAL","ANY","4535"
"13945","CLINICAL","ANY","4535"
"13951","CLINICAL","ANY","4535"
"13956","CLINICAL","ANY","4535"
"13972","CLINICAL","ANY","4535"
"14012","CLINICAL","ANY","4535"
"14014","POPULATION","ANY","4535"
"14016","CLINICAL","ANY","4535"
"14020","CLINICAL","ANY","4535"
"14023","CLINICAL","ANY","4535"
"14026","CLINICAL","ANY","4535"
"14029","CLINICAL","ANY","4535"
"14033","CLINICAL","ANY","4535"
"14045","CLINICAL","ANY","4535"
"14047","CLINICAL","ANY","4535"
"14079","CLINICAL","ANY","4535"
"14093","CLINICAL","ANY","4535"
"14105","POPULATION","ANY","4535"
"14116","POPULATION","ANY","4535"
"14138","CLINICAL","ANY","4535"
"14145","POPULATION","ANY","4535"
"14175","CLINICAL","ANY","4535"
"14181","CLINICAL","ANY","4535"
"14186","POPULATION","ANY","4535"
"14189","CLINICAL","ANY","4535"
"14203","CLINICAL","ANY","4535"
"14210","CLINICAL","ANY","4535"
"14212","CLINICAL","ANY","4535"
"14259","CLINICAL","ANY","4535"
"14262","CLINICAL","ANY","4535"
"14265","CLINICAL","ANY","4535"
"14282","CLINICAL","ANY","4535"
"14285","CLINICAL","ANY","4535"
"14290","CLINICAL","ANY","4535"
"14314","CLINICAL","ANY","4535"
"14321","CLINICAL","ANY","4535"
"14324","CLINICAL","ANY","4535"
"14333","CLINICAL","ANY","4535"
"14351","CLINICAL","ANY","4535"
"14353","CLINICAL","ANY","4535"
"14357","CLINICAL","ANY","4535"
"14361","CLINICAL","ANY","4535"
"14364","CLINICAL","ANY","4535"
"14366","CLINICAL","ANY","4535"
"14374","CLINICAL","ANY","4535"
"14381","CLINICAL","ANY","4535"
"14383","CLINICAL","ANY","4535"
"14391","CLINICAL","ANY","4535"
"14393","CLINICAL","ANY","4535"
"14413","CLINICAL","ANY","4535"
"14416","CLINICAL","ANY","4535"
"14420","CLINICAL","ANY","4535"
"14424","CLINICAL","ANY","4535"
"14426","CLINICAL","ANY","4535"
"14433","CLINICAL","ANY","4535"
"14439","CLINICAL","ANY","4535"
"14461","CLINICAL","ANY","4535"
"14472","CLINICAL","ANY","4535"
"14475","CLINICAL","ANY","4535"
"14480","CLINICAL","ANY","4535"
"14494","CLINICAL","ANY","4535"
"14509","CLINICAL","ANY","4535"
"14516","CLINICAL","ANY","4535"
"14521","POPULATION","ANY","4535"
"14525","CLINICAL","ANY","4535"
"14529","CLINICAL","ANY","4535"
"14533","CLINICAL","ANY","4535"
"14535","CLINICAL","ANY","4535"
"14565","CLINICAL","ANY","4535"
"14569","CLINICAL","ANY","4535"
"14571","CLINICAL","ANY","4535"
"14578","CLINICAL","ANY","4535"
"14591","CLINICAL","ANY","4535"
"14596","CLINICAL","ANY","4535"
"14599","CLINICAL","ANY","4535"
"14603","CLINICAL","ANY","4535"
"14606","CLINICAL","ANY","4535"
"14611","CLINICAL","ANY","4535"
"14627","CLINICAL","ANY","4535"
"14630","CLINICAL","ANY","4535"
"14634","CLINICAL","ANY","4535"
"14636","CLINICAL","ANY","4535"
"14638","CLINICAL","ANY","4535"
"14644","CLINICAL","ANY","4535"
"14648","CLINICAL","ANY","4535"
"14650","CLINICAL","ANY","4535"
"14654","CLINICAL","ANY","4535"
"14665","CLINICAL","ANY","4535"
"14667","CLINICAL","ANY","4535"
"14669","CLINICAL","ANY","4535"
"14671","CLINICAL","ANY","4535"
"14673","CLINICAL","ANY","4535"
"14681","CLINICAL","ANY","4535"
"14684","CLINICAL","ANY","4535"
"14686","CLINICAL","ANY","4535"
"14690","CLINICAL","ANY","4535"
"14693","CLINICAL","ANY","4535"
"14716","CLINICAL","ANY","4535"
"14721","CLINICAL","ANY","4535"
"14731","CLINICAL","ANY","4535"
"14753","CLINICAL","ANY","4535"
"14755","CLINICAL","ANY","4535"
"14759","CLINICAL","ANY","4535"
"14783","CLINICAL","ANY","4535"
"14798","CLINICAL","ANY","4535"
"14809","CLINICAL","ANY","4535"
"14816","CLINICAL","ANY","4535"
"14825","CLINICAL","ANY","4535"
"14827","CLINICAL","ANY","4535"
"14831","CLINICAL","ANY","4535"
"14832","TREATMENT","ANY","4535"
"14847","CLINICAL","ANY","4535"
"14871","CLINICAL","ANY","4535"
"14874","CLINICAL","ANY","4535"
"14881","CLINICAL","ANY","4535"
"14886","CLINICAL","ANY","4535"
"14896","CLINICAL","ANY","4535"
"14900","CLINICAL","ANY","4535"
"14910","CLINICAL","ANY","4535"
"14912","CLINICAL","ANY","4535"
"14914","CLINICAL","ANY","4535"
"14918","CLINICAL","ANY","4535"
"14922","CLINICAL","ANY","4535"
"14928","CLINICAL","ANY","4535"
"14930","CLINICAL","ANY","4535"
"14952","CLINICAL","ANY","4535"
"14958","CLINICAL","ANY","4535"
"14963","POPULATION","ANY","4535"
"14968","CLINICAL","ANY","4535"
"14971","CLINICAL","ANY","4535"
"14974","CLINICAL","ANY","4535"
"14979","CLINICAL","ANY","4535"
"14989","CLINICAL","ANY","4535"
"14991","CLINICAL","ANY","4535"
"14996","CLINICAL","ANY","4535"
"14999","CLINICAL","ANY","4535"
"15063","CLINICAL","ANY","4535"
"15066","POPULATION","ANY","4535"
"15069","CLINICAL","ANY","4535"
"15071","CLINICAL","ANY","4535"
"15074","CLINICAL","ANY","4535"
"15088","POPULATION","ANY","4535"
"15098","CLINICAL","ANY","4535"
"15103","CLINICAL","ANY","4535"
"15105","CLINICAL","ANY","4535"
"15160","CLINICAL","ANY","4535"
"15171","CLINICAL","ANY","4535"
"15178","CLINICAL","ANY","4535"
"15197","TREATMENT","ANY","4535"
"15199","CLINICAL","ANY","4535"
"15208","TREATMENT","ANY","4535"
"15215","TREATMENT","ANY","4535"
"15220","TREATMENT","ANY","4535"
"15229","CLINICAL","ANY","4535"
"15231","TREATMENT","ANY","4535"
"15234","CLINICAL","ANY","4535"
"15241","TREATMENT","ANY","4535"
"15250","CLINICAL","ANY","4535"
"15254","CLINICAL","ANY","4535"
"15257","CLINICAL","ANY","4535"
"15265","CLINICAL","ANY","4535"
"15271","CLINICAL","ANY","4535"
"15273","TREATMENT","ANY","4535"
"15276","CLINICAL","ANY","4535"
"15280","CLINICAL","ANY","4535"
"15286","CLINICAL","ANY","4535"
"15288","TREATMENT","ANY","4535"
"15296","CLINICAL","ANY","4535"
"15299","TREATMENT","ANY","4535"
"15303","CLINICAL","ANY","4535"
"15309","CLINICAL","ANY","4535"
"15311","CLINICAL","ANY","4535"
"15314","CLINICAL","ANY","4535"
"15322","CLINICAL","ANY","4535"
"15325","CLINICAL","ANY","4535"
"15344","CLINICAL","ANY","4535"
"15346","CLINICAL","ANY","4535"
"15348","CLINICAL","ANY","4535"
"15388","CLINICAL","ANY","4535"
"15394","POPULATION","ANY","4535"
"15437","CLINICAL","ANY","4535"
"15439","CLINICAL","ANY","4535"
"15445","CLINICAL","ANY","4535"
"15452","CLINICAL","ANY","4535"
"15470","CLINICAL","ANY","4535"
"15472","CLINICAL","ANY","4535"
"15475","CLINICAL","ANY","4535"
"15481","CLINICAL","ANY","4535"
"15487","CLINICAL","ANY","4535"
"15489","CLINICAL","ANY","4535"
"15491","CLINICAL","ANY","4535"
"15494","CLINICAL","ANY","4535"
"15553","CLINICAL","ANY","4535"
"15556","CLINICAL","ANY","4535"
"15558","CLINICAL","ANY","4535"
"15560","CLINICAL","ANY","4535"
"15564","CLINICAL","ANY","4535"
"15588","CLINICAL","ANY","4535"
"15629","CLINICAL","ANY","4535"
"15632","CLINICAL","ANY","4535"
"15649","CLINICAL","ANY","4535"
"15668","CLINICAL","ANY","4535"
"15689","CLINICAL","ANY","4535"
"15702","CLINICAL","ANY","4535"
"15704","CLINICAL","ANY","4535"
"15708","CLINICAL","ANY","4535"
"15711","CLINICAL","ANY","4535"
"15713","CLINICAL","ANY","4535"
"15730","CLINICAL","ANY","4535"
"15740","CLINICAL","ANY","4535"
"15742","CLINICAL","ANY","4535"
"15744","CLINICAL","ANY","4535"
"15794","CLINICAL","ANY","4535"
"15803","CLINICAL","ANY","4535"
"15831","CLINICAL","ANY","4535"
"15860","CLINICAL","ANY","4535"
"15882","CLINICAL","ANY","4535"
"15885","TREATMENT","ANY","4535"
"15900","CLINICAL","ANY","4535"
"15907","CLINICAL","ANY","4535"
"15915","CLINICAL","ANY","4535"
"15919","CLINICAL","ANY","4535"
"15926","CLINICAL","ANY","4535"
"15974","POPULATION","ANY","4535"
"16025","CLINICAL","ANY","4535"
"16068","CLINICAL","ANY","4535"
"16071","CLINICAL","ANY","4535"
"16112","CLINICAL","ANY","4535"
"16113","CLINICAL","ANY","4535"
"16117","CLINICAL","ANY","4535"
"16119","CLINICAL","ANY","4535"
"16121","CLINICAL","ANY","4535"
"16126","CLINICAL","ANY","4535"
"16128","CLINICAL","ANY","4535"
"16136","CLINICAL","ANY","4535"
"16141","CLINICAL","ANY","4535"
"16144","CLINICAL","ANY","4535"
"16165","CLINICAL","ANY","4535"
"16174","CLINICAL","ANY","4535"
"16178","CLINICAL","ANY","4535"
