pbs_code,prescriber_code,prescriber_type,schedule_code
"10056G","M","Medical Practitioners","4535"
"10057H","M","Medical Practitioners","4535"
"10058J","M","Medical Practitioners","4535"
"10059K","M","Medical Practitioners","4535"
"10059K","N","Nurse Practitioners","4535"
"10060L","M","Medical Practitioners","4535"
"10061M","M","Medical Practitioners","4535"
"10061M","N","Nurse Practitioners","4535"
"10062N","M","Medical Practitioners","4535"
"10064Q","M","Medical Practitioners","4535"
"10066T","M","Medical Practitioners","4535"
"10066T","N","Nurse Practitioners","4535"
"10067W","M","Medical Practitioners","4535"
"10068X","M","Medical Practitioners","4535"
"10069Y","M","Medical Practitioners","4535"
"10071C","M","Medical Practitioners","4535"
"10072D","M","Medical Practitioners","4535"
"10073E","M","Medical Practitioners","4535"
"10074F","M","Medical Practitioners","4535"
"10074F","N","Nurse Practitioners","4535"
"10076H","M","Medical Practitioners","4535"
"10076H","N","Nurse Practitioners","4535"
"10077J","M","Medical Practitioners","4535"
"10078K","M","Medical Practitioners","4535"
"10079L","M","Medical Practitioners","4535"
"1007B","M","Medical Practitioners","4535"
"1007B","N","Nurse Practitioners","4535"
"1007B","W","Midwives","4535"
"10080M","M","Medical Practitioners","4535"
"10080M","N","Nurse Practitioners","4535"
"10081N","M","Medical Practitioners","4535"
"10082P","M","Medical Practitioners","4535"
"10083Q","M","Medical Practitioners","4535"
"10084R","M","Medical Practitioners","4535"
"10086W","M","Medical Practitioners","4535"
"10087X","M","Medical Practitioners","4535"
"10087X","N","Nurse Practitioners","4535"
"10089B","M","Medical Practitioners","4535"
"10089B","N","Nurse Practitioners","4535"
"10090C","M","Medical Practitioners","4535"
"10090C","N","Nurse Practitioners","4535"
"10091D","M","Medical Practitioners","4535"
"10091D","N","Nurse Practitioners","4535"
"10092E","M","Medical Practitioners","4535"
"10092E","N","Nurse Practitioners","4535"
"10093F","M","Medical Practitioners","4535"
"10093F","N","Nurse Practitioners","4535"
"10094G","M","Medical Practitioners","4535"
"10094G","N","Nurse Practitioners","4535"
"10095H","M","Medical Practitioners","4535"
"10096J","M","Medical Practitioners","4535"
"10096J","N","Nurse Practitioners","4535"
"10097K","M","Medical Practitioners","4535"
"10098L","M","Medical Practitioners","4535"
"100G","M","Medical Practitioners","4535"
"10100N","M","Medical Practitioners","4535"
"10100N","N","Nurse Practitioners","4535"
"10102Q","M","Medical Practitioners","4535"
"10103R","M","Medical Practitioners","4535"
"10104T","M","Medical Practitioners","4535"
"10104T","N","Nurse Practitioners","4535"
"10104T","W","Midwives","4535"
"10105W","M","Medical Practitioners","4535"
"10106X","M","Medical Practitioners","4535"
"10107Y","M","Medical Practitioners","4535"
"10107Y","N","Nurse Practitioners","4535"
"10108B","O","Optometrist","4535"
"10109C","M","Medical Practitioners","4535"
"10110D","M","Medical Practitioners","4535"
"10111E","M","Medical Practitioners","4535"
"10116K","M","Medical Practitioners","4535"
"10117L","M","Medical Practitioners","4535"
"10118M","M","Medical Practitioners","4535"
"10119N","M","Medical Practitioners","4535"
"10119N","N","Nurse Practitioners","4535"
"10122R","M","Medical Practitioners","4535"
"10124W","M","Medical Practitioners","4535"
"10124W","N","Nurse Practitioners","4535"
"10128C","M","Medical Practitioners","4535"
"10128C","N","Nurse Practitioners","4535"
"10129D","M","Medical Practitioners","4535"
"10130E","M","Medical Practitioners","4535"
"10131F","M","Medical Practitioners","4535"
"10132G","M","Medical Practitioners","4535"
"10133H","M","Medical Practitioners","4535"
"10134J","M","Medical Practitioners","4535"
"10135K","M","Medical Practitioners","4535"
"10136L","M","Medical Practitioners","4535"
"10137M","M","Medical Practitioners","4535"
"10138N","M","Medical Practitioners","4535"
"10140Q","M","Medical Practitioners","4535"
"10144X","M","Medical Practitioners","4535"
"10146B","M","Medical Practitioners","4535"
"10146B","N","Nurse Practitioners","4535"
"10148D","M","Medical Practitioners","4535"
"10149E","M","Medical Practitioners","4535"
"10149E","N","Nurse Practitioners","4535"
"10150F","M","Medical Practitioners","4535"
"10151G","M","Medical Practitioners","4535"
"10151G","N","Nurse Practitioners","4535"
"10152H","M","Medical Practitioners","4535"
"10152H","N","Nurse Practitioners","4535"
"10154K","M","Medical Practitioners","4535"
"10154K","N","Nurse Practitioners","4535"
"10155L","M","Medical Practitioners","4535"
"10155L","N","Nurse Practitioners","4535"
"10156M","M","Medical Practitioners","4535"
"10156M","N","Nurse Practitioners","4535"
"10157N","M","Medical Practitioners","4535"
"10158P","M","Medical Practitioners","4535"
"10159Q","M","Medical Practitioners","4535"
"10159Q","N","Nurse Practitioners","4535"
"10160R","M","Medical Practitioners","4535"
"10160R","N","Nurse Practitioners","4535"
"10161T","M","Medical Practitioners","4535"
"10161T","N","Nurse Practitioners","4535"
"10162W","M","Medical Practitioners","4535"
"10162W","N","Nurse Practitioners","4535"
"10163X","M","Medical Practitioners","4535"
"10163X","N","Nurse Practitioners","4535"
"10165B","M","Medical Practitioners","4535"
"10166C","M","Medical Practitioners","4535"
"10168E","M","Medical Practitioners","4535"
"10168E","N","Nurse Practitioners","4535"
"1016L","M","Medical Practitioners","4535"
"1016L","N","Nurse Practitioners","4535"
"10170G","M","Medical Practitioners","4535"
"10171H","M","Medical Practitioners","4535"
"10172J","M","Medical Practitioners","4535"
"10173K","M","Medical Practitioners","4535"
"10173K","N","Nurse Practitioners","4535"
"10174L","M","Medical Practitioners","4535"
"10175M","M","Medical Practitioners","4535"
"10176N","M","Medical Practitioners","4535"
"10176N","N","Nurse Practitioners","4535"
"10177P","M","Medical Practitioners","4535"
"10178Q","M","Medical Practitioners","4535"
"10178Q","N","Nurse Practitioners","4535"
"10180T","M","Medical Practitioners","4535"
"10181W","M","Medical Practitioners","4535"
"10181W","N","Nurse Practitioners","4535"
"10182X","M","Medical Practitioners","4535"
"10183Y","M","Medical Practitioners","4535"
"10184B","M","Medical Practitioners","4535"
"10185C","M","Medical Practitioners","4535"
"10185C","N","Nurse Practitioners","4535"
"10187E","M","Medical Practitioners","4535"
"10187E","N","Nurse Practitioners","4535"
"10188F","M","Medical Practitioners","4535"
"10188F","N","Nurse Practitioners","4535"
"10189G","M","Medical Practitioners","4535"
"10189G","N","Nurse Practitioners","4535"
"10190H","M","Medical Practitioners","4535"
"10191J","M","Medical Practitioners","4535"
"10192K","M","Medical Practitioners","4535"
"10194M","M","Medical Practitioners","4535"
"10195N","M","Medical Practitioners","4535"
"10195N","N","Nurse Practitioners","4535"
"10196P","M","Medical Practitioners","4535"
"10198R","M","Medical Practitioners","4535"
"10198R","N","Nurse Practitioners","4535"
"101H","M","Medical Practitioners","4535"
"10201X","M","Medical Practitioners","4535"
"10201X","N","Nurse Practitioners","4535"
"10202Y","M","Medical Practitioners","4535"
"10202Y","N","Nurse Practitioners","4535"
"10203B","M","Medical Practitioners","4535"
"10203B","N","Nurse Practitioners","4535"
"10204C","M","Medical Practitioners","4535"
"10204C","N","Nurse Practitioners","4535"
"10205D","M","Medical Practitioners","4535"
"10205D","N","Nurse Practitioners","4535"
"10206E","M","Medical Practitioners","4535"
"10206E","N","Nurse Practitioners","4535"
"10207F","M","Medical Practitioners","4535"
"10207F","N","Nurse Practitioners","4535"
"10208G","M","Medical Practitioners","4535"
"10208G","N","Nurse Practitioners","4535"
"10209H","M","Medical Practitioners","4535"
"10209H","N","Nurse Practitioners","4535"
"10209H","W","Midwives","4535"
"10211K","M","Medical Practitioners","4535"
"10211K","N","Nurse Practitioners","4535"
"10211K","W","Midwives","4535"
"10212L","M","Medical Practitioners","4535"
"10212L","N","Nurse Practitioners","4535"
"10213M","M","Medical Practitioners","4535"
"10213M","N","Nurse Practitioners","4535"
"10214N","M","Medical Practitioners","4535"
"10214N","N","Nurse Practitioners","4535"
"10218T","M","Medical Practitioners","4535"
"10218T","N","Nurse Practitioners","4535"
"10219W","M","Medical Practitioners","4535"
"10219W","N","Nurse Practitioners","4535"
"10220X","M","Medical Practitioners","4535"
"10220X","N","Nurse Practitioners","4535"
"10224D","M","Medical Practitioners","4535"
"10224D","N","Nurse Practitioners","4535"
"10226F","M","Medical Practitioners","4535"
"10228H","M","Medical Practitioners","4535"
"10229J","M","Medical Practitioners","4535"
"10229J","N","Nurse Practitioners","4535"
"10230K","M","Medical Practitioners","4535"
"10231L","M","Medical Practitioners","4535"
"10231L","N","Nurse Practitioners","4535"
"10232M","M","Medical Practitioners","4535"
"10233N","M","Medical Practitioners","4535"
"10234P","M","Medical Practitioners","4535"
"10234P","N","Nurse Practitioners","4535"
"10238W","M","Medical Practitioners","4535"
"10241B","M","Medical Practitioners","4535"
"10241B","N","Nurse Practitioners","4535"
"10242C","M","Medical Practitioners","4535"
"10243D","M","Medical Practitioners","4535"
"10245F","M","Medical Practitioners","4535"
"10245F","N","Nurse Practitioners","4535"
"10246G","M","Medical Practitioners","4535"
"10250L","M","Medical Practitioners","4535"
"10250L","N","Nurse Practitioners","4535"
"10254Q","M","Medical Practitioners","4535"
"10254Q","N","Nurse Practitioners","4535"
"10257W","M","Medical Practitioners","4535"
"10257W","N","Nurse Practitioners","4535"
"10258X","M","Medical Practitioners","4535"
"10258X","N","Nurse Practitioners","4535"
"10259Y","M","Medical Practitioners","4535"
"10259Y","N","Nurse Practitioners","4535"
"10260B","M","Medical Practitioners","4535"
"10260B","N","Nurse Practitioners","4535"
"10262D","M","Medical Practitioners","4535"
"10263E","M","Medical Practitioners","4535"
"10264F","M","Medical Practitioners","4535"
"10265G","M","Medical Practitioners","4535"
"10266H","M","Medical Practitioners","4535"
"10266H","N","Nurse Practitioners","4535"
"10267J","M","Medical Practitioners","4535"
"10272P","M","Medical Practitioners","4535"
"10272P","N","Nurse Practitioners","4535"
"10273Q","M","Medical Practitioners","4535"
"10273Q","N","Nurse Practitioners","4535"
"10277X","M","Medical Practitioners","4535"
"10277X","N","Nurse Practitioners","4535"
"10279B","M","Medical Practitioners","4535"
"10279B","N","Nurse Practitioners","4535"
"10281D","M","Medical Practitioners","4535"
"10282E","M","Medical Practitioners","4535"
"10283F","M","Medical Practitioners","4535"
"10283F","N","Nurse Practitioners","4535"
"10284G","M","Medical Practitioners","4535"
"10284G","N","Nurse Practitioners","4535"
"10286J","M","Medical Practitioners","4535"
"10286J","N","Nurse Practitioners","4535"
"10288L","M","Medical Practitioners","4535"
"10289M","M","Medical Practitioners","4535"
"10293R","M","Medical Practitioners","4535"
"10293R","N","Nurse Practitioners","4535"
"10294T","M","Medical Practitioners","4535"
"10294T","N","Nurse Practitioners","4535"
"10295W","M","Medical Practitioners","4535"
"10295W","N","Nurse Practitioners","4535"
"10298B","M","Medical Practitioners","4535"
"10298B","N","Nurse Practitioners","4535"
"102J","M","Medical Practitioners","4535"
"10301E","M","Medical Practitioners","4535"
"10301E","N","Nurse Practitioners","4535"
"10302F","M","Medical Practitioners","4535"
"10304H","M","Medical Practitioners","4535"
"10304H","N","Nurse Practitioners","4535"
"10306K","M","Medical Practitioners","4535"
"10306K","N","Nurse Practitioners","4535"
"10308M","M","Medical Practitioners","4535"
"10310P","M","Medical Practitioners","4535"
"10310P","N","Nurse Practitioners","4535"
"10311Q","M","Medical Practitioners","4535"
"10311Q","N","Nurse Practitioners","4535"
"10315X","M","Medical Practitioners","4535"
"10315X","N","Nurse Practitioners","4535"
"10318C","M","Medical Practitioners","4535"
"10318C","N","Nurse Practitioners","4535"
"10319D","M","Medical Practitioners","4535"
"10319D","N","Nurse Practitioners","4535"
"10320E","M","Medical Practitioners","4535"
"10320E","N","Nurse Practitioners","4535"
"10321F","M","Medical Practitioners","4535"
"10321F","N","Nurse Practitioners","4535"
"10322G","M","Medical Practitioners","4535"
"10323H","M","Medical Practitioners","4535"
"10327M","M","Medical Practitioners","4535"
"10327M","N","Nurse Practitioners","4535"
"10328N","M","Medical Practitioners","4535"
"10328N","N","Nurse Practitioners","4535"
"10329P","M","Medical Practitioners","4535"
"10329P","N","Nurse Practitioners","4535"
"10330Q","M","Medical Practitioners","4535"
"10330Q","N","Nurse Practitioners","4535"
"10331R","M","Medical Practitioners","4535"
"10331R","N","Nurse Practitioners","4535"
"10332T","M","Medical Practitioners","4535"
"10332T","N","Nurse Practitioners","4535"
"10333W","M","Medical Practitioners","4535"
"10334X","M","Medical Practitioners","4535"
"10341G","M","Medical Practitioners","4535"
"10343J","M","Medical Practitioners","4535"
"10343J","N","Nurse Practitioners","4535"
"10345L","M","Medical Practitioners","4535"
"10345L","N","Nurse Practitioners","4535"
"10347N","M","Medical Practitioners","4535"
"10347N","N","Nurse Practitioners","4535"
"10348P","M","Medical Practitioners","4535"
"10348P","N","Nurse Practitioners","4535"
"10349Q","M","Medical Practitioners","4535"
"10349Q","N","Nurse Practitioners","4535"
"1034K","M","Medical Practitioners","4535"
"1034K","N","Nurse Practitioners","4535"
"10353X","M","Medical Practitioners","4535"
"10353X","N","Nurse Practitioners","4535"
"10355B","M","Medical Practitioners","4535"
"10355B","N","Nurse Practitioners","4535"
"10356C","M","Medical Practitioners","4535"
"10356C","N","Nurse Practitioners","4535"
"10357D","M","Medical Practitioners","4535"
"10357D","N","Nurse Practitioners","4535"
"10358E","M","Medical Practitioners","4535"
"10360G","M","Medical Practitioners","4535"
"10360G","N","Nurse Practitioners","4535"
"10361H","M","Medical Practitioners","4535"
"10361H","N","Nurse Practitioners","4535"
"10367P","M","Medical Practitioners","4535"
"10367P","N","Nurse Practitioners","4535"
"10373Y","M","Medical Practitioners","4535"
"10374B","M","Medical Practitioners","4535"
"10376D","M","Medical Practitioners","4535"
"10376D","N","Nurse Practitioners","4535"
"10377E","M","Medical Practitioners","4535"
"10377E","N","Nurse Practitioners","4535"
"10378F","M","Medical Practitioners","4535"
"10378F","N","Nurse Practitioners","4535"
"10380H","M","Medical Practitioners","4535"
"10380H","N","Nurse Practitioners","4535"
"10382K","M","Medical Practitioners","4535"
"10383L","M","Medical Practitioners","4535"
"10384M","M","Medical Practitioners","4535"
"10385N","M","Medical Practitioners","4535"
"10386P","M","Medical Practitioners","4535"
"10387Q","M","Medical Practitioners","4535"
"10390W","M","Medical Practitioners","4535"
"10391X","M","Medical Practitioners","4535"
"10392Y","M","Medical Practitioners","4535"
"10392Y","N","Nurse Practitioners","4535"
"10393B","M","Medical Practitioners","4535"
"10393B","N","Nurse Practitioners","4535"
"10398G","M","Medical Practitioners","4535"
"10399H","M","Medical Practitioners","4535"
"10400J","M","Medical Practitioners","4535"
"10401K","M","Medical Practitioners","4535"
"10402L","M","Medical Practitioners","4535"
"10403M","M","Medical Practitioners","4535"
"10405P","M","Medical Practitioners","4535"
"10406Q","M","Medical Practitioners","4535"
"10407R","M","Medical Practitioners","4535"
"10411Y","M","Medical Practitioners","4535"
"10411Y","N","Nurse Practitioners","4535"
"10412B","M","Medical Practitioners","4535"
"10413C","M","Medical Practitioners","4535"
"10414D","M","Medical Practitioners","4535"
"10414D","N","Nurse Practitioners","4535"
"10415E","M","Medical Practitioners","4535"
"10416F","M","Medical Practitioners","4535"
"10416F","N","Nurse Practitioners","4535"
"10417G","M","Medical Practitioners","4535"
"10418H","M","Medical Practitioners","4535"
"10419J","M","Medical Practitioners","4535"
"10420K","M","Medical Practitioners","4535"
"10424P","M","Medical Practitioners","4535"
"10425Q","M","Medical Practitioners","4535"
"10426R","M","Medical Practitioners","4535"
"10427T","M","Medical Practitioners","4535"
"10428W","M","Medical Practitioners","4535"
"10430Y","M","Medical Practitioners","4535"
"10431B","M","Medical Practitioners","4535"
"10432C","M","Medical Practitioners","4535"
"10434E","M","Medical Practitioners","4535"
"10435F","M","Medical Practitioners","4535"
"10436G","M","Medical Practitioners","4535"
"10441M","M","Medical Practitioners","4535"
"10442N","M","Medical Practitioners","4535"
"10443P","M","Medical Practitioners","4535"
"10445R","M","Medical Practitioners","4535"
"10445R","N","Nurse Practitioners","4535"
"10446T","M","Medical Practitioners","4535"
"10449Y","M","Medical Practitioners","4535"
"10451C","M","Medical Practitioners","4535"
"10453E","M","Medical Practitioners","4535"
"10454F","M","Medical Practitioners","4535"
"10456H","M","Medical Practitioners","4535"
"10457J","M","Medical Practitioners","4535"
"10458K","M","Medical Practitioners","4535"
"10459L","M","Medical Practitioners","4535"
"10460M","M","Medical Practitioners","4535"
"10460M","N","Nurse Practitioners","4535"
"10462P","M","Medical Practitioners","4535"
"10463Q","M","Medical Practitioners","4535"
"10464R","M","Medical Practitioners","4535"
"10465T","M","Medical Practitioners","4535"
"10466W","M","Medical Practitioners","4535"
"10466W","N","Nurse Practitioners","4535"
"10467X","M","Medical Practitioners","4535"
"10472E","M","Medical Practitioners","4535"
"10473F","M","Medical Practitioners","4535"
"10474G","M","Medical Practitioners","4535"
"10474G","N","Nurse Practitioners","4535"
"10475H","M","Medical Practitioners","4535"
"10477K","M","Medical Practitioners","4535"
"10479M","M","Medical Practitioners","4535"
"10480N","M","Medical Practitioners","4535"
"10481P","M","Medical Practitioners","4535"
"10483R","M","Medical Practitioners","4535"
"10484T","M","Medical Practitioners","4535"
"10485W","M","Medical Practitioners","4535"
"10486X","M","Medical Practitioners","4535"
"10486X","N","Nurse Practitioners","4535"
"10488B","M","Medical Practitioners","4535"
"10489C","M","Medical Practitioners","4535"
"10490D","M","Medical Practitioners","4535"
"10492F","M","Medical Practitioners","4535"
"10492F","N","Nurse Practitioners","4535"
"10493G","M","Medical Practitioners","4535"
"10494H","M","Medical Practitioners","4535"
"10495J","M","Medical Practitioners","4535"
"10496K","M","Medical Practitioners","4535"
"10497L","M","Medical Practitioners","4535"
"10498M","M","Medical Practitioners","4535"
"104L","M","Medical Practitioners","4535"
"10500P","M","Medical Practitioners","4535"
"10501Q","M","Medical Practitioners","4535"
"10503T","M","Medical Practitioners","4535"
"10504W","M","Medical Practitioners","4535"
"10505X","M","Medical Practitioners","4535"
"10506Y","M","Medical Practitioners","4535"
"10507B","M","Medical Practitioners","4535"
"10508C","M","Medical Practitioners","4535"
"10509D","M","Medical Practitioners","4535"
"10509D","N","Nurse Practitioners","4535"
"10510E","M","Medical Practitioners","4535"
"10510E","N","Nurse Practitioners","4535"
"10511F","M","Medical Practitioners","4535"
"10512G","M","Medical Practitioners","4535"
"10513H","M","Medical Practitioners","4535"
"10514J","M","Medical Practitioners","4535"
"10515K","M","Medical Practitioners","4535"
"10515K","N","Nurse Practitioners","4535"
"10516L","M","Medical Practitioners","4535"
"10516L","N","Nurse Practitioners","4535"
"10517M","M","Medical Practitioners","4535"
"10518N","M","Medical Practitioners","4535"
"10519P","M","Medical Practitioners","4535"
"10520Q","M","Medical Practitioners","4535"
"10522T","M","Medical Practitioners","4535"
"10522T","N","Nurse Practitioners","4535"
"10523W","M","Medical Practitioners","4535"
"10524X","M","Medical Practitioners","4535"
"10526B","M","Medical Practitioners","4535"
"10526B","N","Nurse Practitioners","4535"
"10527C","M","Medical Practitioners","4535"
"10527C","N","Nurse Practitioners","4535"
"10528D","M","Medical Practitioners","4535"
"10528D","N","Nurse Practitioners","4535"
"10529E","M","Medical Practitioners","4535"
"10529E","N","Nurse Practitioners","4535"
"1052J","M","Medical Practitioners","4535"
"1052J","N","Nurse Practitioners","4535"
"10530F","M","Medical Practitioners","4535"
"10533J","M","Medical Practitioners","4535"
"10536M","M","Medical Practitioners","4535"
"10536M","N","Nurse Practitioners","4535"
"10538P","M","Medical Practitioners","4535"
"10538P","N","Nurse Practitioners","4535"
"10539Q","M","Medical Practitioners","4535"
"10540R","M","Medical Practitioners","4535"
"10541T","M","Medical Practitioners","4535"
"10541T","N","Nurse Practitioners","4535"
"10543X","M","Medical Practitioners","4535"
"10547D","O","Optometrist","4535"
"10549F","M","Medical Practitioners","4535"
"10550G","M","Medical Practitioners","4535"
"10551H","M","Medical Practitioners","4535"
"10551H","N","Nurse Practitioners","4535"
"10556N","M","Medical Practitioners","4535"
"10557P","M","Medical Practitioners","4535"
"10557P","N","Nurse Practitioners","4535"
"10558Q","M","Medical Practitioners","4535"
"10565C","M","Medical Practitioners","4535"
"10565C","N","Nurse Practitioners","4535"
"10566D","M","Medical Practitioners","4535"
"10572K","M","Medical Practitioners","4535"
"10573L","M","Medical Practitioners","4535"
"10577Q","M","Medical Practitioners","4535"
"10578R","M","Medical Practitioners","4535"
"10579T","M","Medical Practitioners","4535"
"10580W","M","Medical Practitioners","4535"
"10581X","M","Medical Practitioners","4535"
"10582Y","M","Medical Practitioners","4535"
"10584C","M","Medical Practitioners","4535"
"10585D","M","Medical Practitioners","4535"
"10586E","M","Medical Practitioners","4535"
"10587F","M","Medical Practitioners","4535"
"10588G","M","Medical Practitioners","4535"
"10589H","M","Medical Practitioners","4535"
"10590J","M","Medical Practitioners","4535"
"10592L","M","Medical Practitioners","4535"
"10594N","M","Medical Practitioners","4535"
"10596Q","M","Medical Practitioners","4535"
"10597R","M","Medical Practitioners","4535"
"10598T","M","Medical Practitioners","4535"
"10599W","M","Medical Practitioners","4535"
"105M","M","Medical Practitioners","4535"
"10600X","M","Medical Practitioners","4535"
"10600X","N","Nurse Practitioners","4535"
"10601Y","M","Medical Practitioners","4535"
"10601Y","N","Nurse Practitioners","4535"
"10602B","M","Medical Practitioners","4535"
"10602B","N","Nurse Practitioners","4535"
"10603C","M","Medical Practitioners","4535"
"10603C","N","Nurse Practitioners","4535"
"10604D","M","Medical Practitioners","4535"
"10604D","N","Nurse Practitioners","4535"
"10606F","M","Medical Practitioners","4535"
"10606F","N","Nurse Practitioners","4535"
"10607G","M","Medical Practitioners","4535"
"10607G","N","Nurse Practitioners","4535"
"10608H","M","Medical Practitioners","4535"
"10608H","N","Nurse Practitioners","4535"
"10610K","M","Medical Practitioners","4535"
"10610K","N","Nurse Practitioners","4535"
"10611L","M","Medical Practitioners","4535"
"10611L","N","Nurse Practitioners","4535"
"10612M","M","Medical Practitioners","4535"
"10612M","N","Nurse Practitioners","4535"
"10613N","M","Medical Practitioners","4535"
"10613N","N","Nurse Practitioners","4535"
"10614P","M","Medical Practitioners","4535"
"10615Q","M","Medical Practitioners","4535"
"10616R","M","Medical Practitioners","4535"
"10617T","M","Medical Practitioners","4535"
"10618W","M","Medical Practitioners","4535"
"10619X","M","Medical Practitioners","4535"
"10620Y","M","Medical Practitioners","4535"
"10621B","M","Medical Practitioners","4535"
"10626G","M","Medical Practitioners","4535"
"10626G","N","Nurse Practitioners","4535"
"10627H","M","Medical Practitioners","4535"
"10627H","N","Nurse Practitioners","4535"
"1062X","M","Medical Practitioners","4535"
"1062X","N","Nurse Practitioners","4535"
"10632N","M","Medical Practitioners","4535"
"10632N","N","Nurse Practitioners","4535"
"10633P","M","Medical Practitioners","4535"
"10633P","N","Nurse Practitioners","4535"
"10658Y","M","Medical Practitioners","4535"
"10658Y","N","Nurse Practitioners","4535"
"10677Y","M","Medical Practitioners","4535"
"10677Y","N","Nurse Practitioners","4535"
"10682F","M","Medical Practitioners","4535"
"10683G","M","Medical Practitioners","4535"
"10683G","N","Nurse Practitioners","4535"
"10684H","M","Medical Practitioners","4535"
"10684H","N","Nurse Practitioners","4535"
"10691Q","M","Medical Practitioners","4535"
"10692R","M","Medical Practitioners","4535"
"10692R","N","Nurse Practitioners","4535"
"10693T","M","Medical Practitioners","4535"
"10693T","N","Nurse Practitioners","4535"
"10694W","M","Medical Practitioners","4535"
"10694W","N","Nurse Practitioners","4535"
"10697B","M","Medical Practitioners","4535"
"10697B","N","Nurse Practitioners","4535"
"10698C","M","Medical Practitioners","4535"
"10698C","N","Nurse Practitioners","4535"
"10699D","M","Medical Practitioners","4535"
"106N","M","Medical Practitioners","4535"
"1070H","M","Medical Practitioners","4535"
"1070H","N","Nurse Practitioners","4535"
"10713W","M","Medical Practitioners","4535"
"10713W","N","Nurse Practitioners","4535"
"10714X","M","Medical Practitioners","4535"
"10715Y","M","Medical Practitioners","4535"
"10715Y","N","Nurse Practitioners","4535"
"10729Q","M","Medical Practitioners","4535"
"10729Q","N","Nurse Practitioners","4535"
"10730R","M","Medical Practitioners","4535"
"10730R","N","Nurse Practitioners","4535"
"10731T","M","Medical Practitioners","4535"
"10731T","N","Nurse Practitioners","4535"
"10732W","M","Medical Practitioners","4535"
"10732W","N","Nurse Practitioners","4535"
"10736C","M","Medical Practitioners","4535"
"10736C","N","Nurse Practitioners","4535"
"10737D","M","Medical Practitioners","4535"
"10737D","N","Nurse Practitioners","4535"
"10738E","M","Medical Practitioners","4535"
"10738E","N","Nurse Practitioners","4535"
"10743K","M","Medical Practitioners","4535"
"10745M","M","Medical Practitioners","4535"
"10746N","M","Medical Practitioners","4535"
"10746N","N","Nurse Practitioners","4535"
"10748Q","M","Medical Practitioners","4535"
"10755C","M","Medical Practitioners","4535"
"10755C","N","Nurse Practitioners","4535"
"10756D","M","Medical Practitioners","4535"
"10756D","N","Nurse Practitioners","4535"
"10757E","M","Medical Practitioners","4535"
"10757E","N","Nurse Practitioners","4535"
"10758F","M","Medical Practitioners","4535"
"10758F","N","Nurse Practitioners","4535"
"10759G","M","Medical Practitioners","4535"
"10759G","N","Nurse Practitioners","4535"
