atc_code,atc_description,atc_level,atc_parent_code,schedule_code
"A02BD02","lansoprazole, tetracycline and metronidazole","5","A02BD","4535"
"A02BD03","lansoprazole, amoxicillin and metronidazole","5","A02BD","4535"
"A02BD04","pantoprazole, amoxicillin and clarithromycin","5","A02BD","4535"
"A02BD05","omeprazole, amoxicillin and clarithromycin","5","A02BD","4535"
"A02BD06","esomeprazole, amoxicillin and clarithromycin","5","A02BD","4535"
"A02BD07","lansoprazole, amoxicillin and clarithromycin","5","A02BD","4535"
"A02BD08","bismuth subcitrate, tetracycline and metronidazole","5","A02BD","4535"
"A02BD09","lansoprazole, clarithromycin and tinidazole","5","A02BD","4535"
"A02BD10","lansoprazole, amoxicillin and levofloxacin","5","A02BD","4535"
"A02BD11","pantoprazole, amoxicillin, clarithromycin and metronidazole","5","A02BD","4535"
"A02BD12","rabeprazole, amoxicillin and clarithromycin","5","A02BD","4535"
"A02BD13","rabeprazole, amoxicillin and metronidazole","5","A02BD","4535"
"A02BD14","vonoprazan, amoxicillin and clarithromycin","5","A02BD","4535"
"A02BD15","vonoprazan, amoxicillin and metronidazole","5","A02BD","4535"
"A02BD16","omeprazole, amoxicillin and rifabutin","5","A02BD","4535"
"A02BD17","vonoprazan and amoxicillin","5","A02BD","4535"
"A02BX","Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)","4","A02B","4535"
"A02BX01","carbenoxolone","5","A02BX","4535"
"A02BX02","sucralfate","5","A02BX","4535"
"A02BX03","pirenzepine","5","A02BX","4535"
"A02BX04","methiosulfonium chloride","5","A02BX","4535"
"A02BX05","bismuth subcitrate","5","A02BX","4535"
"A02BX06","proglumide","5","A02BX","4535"
"A02BX07","gefarnate","5","A02BX","4535"
"A02BX08","sulglicotide","5","A02BX","4535"
"A02BX09","acetoxolone","5","A02BX","4535"
"A02BX10","zolimidine","5","A02BX","4535"
"A02BX11","troxipide","5","A02BX","4535"
"A02BX12","bismuth subnitrate","5","A02BX","4535"
"A02BX13","alginic acid","5","A02BX","4535"
"A02BX14","rebamipide","5","A02BX","4535"
"A02BX15","teprenone","5","A02BX","4535"
"A02BX16","irsogladine","5","A02BX","4535"
"A02BX51","carbenoxolone, combinations excl. psycholeptics","5","A02BX","4535"
"A02BX71","carbenoxolone, combinations with psycholeptics","5","A02BX","4535"
"A02BX77","gefarnate, combinations with psycholeptics","5","A02BX","4535"
"A02D","Antiflatulents","3","A02","4535"
"A02DA","Antiflatulents","4","A02D","4535"
"A02DA01","Silicones","5","A02DA","4535"
"A02E","Antiregurgitants","3","A02","4535"
"A02EA","Antiregurgitants","4","A02E","4535"
"A02EA01","Alginic acid","5","A02EA","4535"
"A02X","OTHER DRUGS FOR ACID RELATED DISORDERS","3","A02","4535"
"A03","DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS","2","A","4535"
"A03A","DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS","3","A03","4535"
"A03AA","Synthetic anticholinergics, esters with tertiary amino group","4","A03A","4535"
"A03AA01","oxyphencyclimine","5","A03AA","4535"
"A03AA03","camylofin","5","A03AA","4535"
"A03AA04","mebeverine","5","A03AA","4535"
"A03AA05","trimebutine","5","A03AA","4535"
"A03AA06","rociverine","5","A03AA","4535"
"A03AA07","dicycloverine","5","A03AA","4535"
"A03AA08","dihexyverine","5","A03AA","4535"
"A03AA09","difemerine","5","A03AA","4535"
"A03AA30","piperidolate","5","A03AA","4535"
"A03AB","Synthetic anticholinergics, quaternary ammonium compounds","4","A03A","4535"
"A03AB01","benzilone","5","A03AB","4535"
"A03AB02","glycopyrronium bromide","5","A03AB","4535"
"A03AB03","oxyphenonium","5","A03AB","4535"
"A03AB04","penthienate","5","A03AB","4535"
"A03AB05","propantheline","5","A03AB","4535"
"A03AB06","otilonium bromide","5","A03AB","4535"
"A03AB07","methantheline","5","A03AB","4535"
"A03AB08","tridihexethyl","5","A03AB","4535"
"A03AB09","isopropamide","5","A03AB","4535"
"A03AB10","hexocyclium","5","A03AB","4535"
"A03AB11","poldine","5","A03AB","4535"
"A03AB12","mepenzolate","5","A03AB","4535"
"A03AB13","bevonium","5","A03AB","4535"
"A03AB14","pipenzolate","5","A03AB","4535"
"A03AB15","diphemanil","5","A03AB","4535"
"A03AB16","(2-benzhydryloxyethyl)diethyl-methylammonium iodide","5","A03AB","4535"
"A03AB17","tiemonium iodide","5","A03AB","4535"
"A03AB18","prifinium bromide","5","A03AB","4535"
"A03AB19","timepidium bromide","5","A03AB","4535"
"A03AB20","Trospium","5","A03AB","4535"
"A03AB21","fenpiverinium","5","A03AB","4535"
"A03AB53","oxyphenonium, combinations","5","A03AB","4535"
"A03AC","Synthetic antispasmodics, amides with tertiary amines","4","A03A","4535"
"A03AC02","dimethylaminopropionylphenothiazine","5","A03AC","4535"
"A03AC04","nicofetamide","5","A03AC","4535"
"A03AC05","tiropramide","5","A03AC","4535"
"A03AD","Papaverine and derivatives","4","A03A","4535"
"A03AD01","papaverine","5","A03AD","4535"
"A03AD02","drotaverine","5","A03AD","4535"
"A03AD30","moxaverine","5","A03AD","4535"
"A03AD51","Papaverine, combinations","5","A03AD","4535"
"A03AE","Serotonin receptor antagonists","4","A03A","4535"
"A03AE01","alosetron","5","A03AE","4535"
"A03AE02","tegaserod","5","A03AE","4535"
"A03AE03","cilansetron","5","A03AE","4535"
"A03AE04","prucalopride","5","A03AE","4535"
"A03AX","Other drugs for functional gastrointestinal disorders","4","A03A","4535"
"A03AX01","fenpiprane","5","A03AX","4535"
"A03AX02","diisopromine","5","A03AX","4535"
"A03AX03","chlorbenzoxamine","5","A03AX","4535"
"A03AX04","pinaverium","5","A03AX","4535"
"A03AX05","fenoverine","5","A03AX","4535"
"A03AX06","idanpramine","5","A03AX","4535"
"A03AX07","proxazole","5","A03AX","4535"
"A03AX08","alverine","5","A03AX","4535"
"A03AX09","trepibutone","5","A03AX","4535"
"A03AX10","isometheptene","5","A03AX","4535"
"A03AX11","caroverine","5","A03AX","4535"
"A03AX12","phloroglucinol","5","A03AX","4535"
"A03AX13","silicones","5","A03AX","4535"
"A03AX14","valethamate","5","A03AX","4535"
"A03AX15","menthae piperitae aetheroleum","5","A03AX","4535"
"A03AX30","trimethyldiphenylpropylamine","5","A03AX","4535"
"A03AX58","alverine, combinations","5","A03AX","4535"
"A03B","BELLADONNA AND DERIVATIVES, PLAIN","3","A03","4535"
"A03BA","Belladonna alkaloids, tertiary amines","4","A03B","4535"
"A03BA01","atropine","5","A03BA","4535"
"A03BA03","hyoscyamine","5","A03BA","4535"
"A03BA04","belladonna total alkaloids","5","A03BA","4535"
"A03BB","Belladonna alkaloids, semisynthetic, quaternary ammonium compounds","4","A03B","4535"
"A03BB01","butylscopolamine","5","A03BB","4535"
"A03BB02","methylatropine","5","A03BB","4535"
"A03BB03","methylscopolamine","5","A03BB","4535"
"A03BB04","fentonium","5","A03BB","4535"
"A03BB05","cimetropium bromide","5","A03BB","4535"
"A03BB06","homatropine methylbromide","5","A03BB","4535"
"A03C","ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS","3","A03","4535"
"A03CA","Synthetic anticholinergic agents in combination with psycholeptics","4","A03C","4535"
"A03CA01","isopropamide and psycholeptics","5","A03CA","4535"
"A03CA02","clidinium and psycholeptics","5","A03CA","4535"
"A03CA03","oxyphencyclimine and psycholeptics","5","A03CA","4535"
"A03CA04","otilonium bromide and psycholeptics","5","A03CA","4535"
"A03CA05","glycopyrronium bromide and psycholeptics","5","A03CA","4535"
"A03CA06","bevonium and psycholeptics","5","A03CA","4535"
"A03CA07","ambutonium and psycholeptics","5","A03CA","4535"
"A03CA08","diphemanil and psycholeptics","5","A03CA","4535"
"A03CA09","pipenzolate and psycholeptics","5","A03CA","4535"
"A03CA30","emepronium and psycholeptics","5","A03CA","4535"
"A03CA34","propantheline and psycholeptics","5","A03CA","4535"
"A03CB","Belladonna and derivatives in combination with psycholeptics","4","A03C","4535"
"A03CB01","methylscopolamine and psycholeptics","5","A03CB","4535"
"A03CB02","belladonna total alkaloids and psycholeptics","5","A03CB","4535"
"A03CB03","atropine and psycholeptics","5","A03CB","4535"
"A03CB04","homatropine methylbromide and psycholeptics","5","A03CB","4535"
"A03CB31","hyoscyamine and psycholeptics","5","A03CB","4535"
"A03CC","Other antispasmodics in combination with psycholeptics","4","A03C","4535"
"A03D","ANTISPASMODICS IN COMBINATION WITH ANALGESICS","3","A03","4535"
"A03DA","Synthetic anticholinergic agents in combination with analgesics","4","A03D","4535"
"A03DA01","tropenzilone and analgesics","5","A03DA","4535"
"A03DA02","pitofenone and analgesics","5","A03DA","4535"
"A03DA03","bevonium and analgesics","5","A03DA","4535"
"A03DA04","ciclonium and analgesics","5","A03DA","4535"
"A03DA05","camylofin and analgesics","5","A03DA","4535"
"A03DA06","trospium and analgesics","5","A03DA","4535"
"A03DA07","tiemonium iodide and analgesics","5","A03DA","4535"
"A03DB","Belladonna and derivatives in combination with analgesics","4","A03D","4535"
"A03DB04","butylscopolamine and analgesics","5","A03DB","4535"
"A03DC","Other antispasmodics in combination with analgesics","4","A03D","4535"
"A03E","ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS","3","A03","4535"
"A03EA","Antispasmodics, psycholeptics and analgesics in combination","4","A03E","4535"
"A03ED","Antispasmodics in combination with other drugs","4","A03E","4535"
"A03F","PROPULSIVES","3","A03","4535"
"A03FA","Propulsives","4","A03F","4535"
"A03FA01","metoclopramide","5","A03FA","4535"
"A03FA02","cisapride","5","A03FA","4535"
"A03FA03","domperidone","5","A03FA","4535"
"A03FA04","bromopride","5","A03FA","4535"
"A03FA05","alizapride","5","A03FA","4535"
"A03FA06","clebopride","5","A03FA","4535"
"A03FA07","itopride","5","A03FA","4535"
"A03FA08","cinitapride","5","A03FA","4535"
"A03FA09","mosapride","5","A03FA","4535"
"A03FA10","acotiamide","5","A03FA","4535"
"A04","ANTIEMETICS AND ANTINAUSEANTS","2","A","4535"
"A04A","ANTIEMETICS AND ANTINAUSEANTS","3","A04","4535"
"A04AA","Serotonin (5HT3) antagonists","4","A04A","4535"
"A04AA01","ondansetron","5","A04AA","4535"
"A04AA02","granisetron","5","A04AA","4535"
"A04AA03","tropisetron","5","A04AA","4535"
"A04AA04","dolasetron","5","A04AA","4535"
"A04AA05","palonosetron","5","A04AA","4535"
"A04AA55","palonosetron, combinations","5","A04AA","4535"
"A04AD","Other antiemetics","4","A04A","4535"
"A04AD01","scopolamine","5","A04AD","4535"
"A04AD02","cerium oxalate","5","A04AD","4535"
"A04AD04","chlorobutanol","5","A04AD","4535"
"A04AD05","metopimazine","5","A04AD","4535"
"A04AD08","Ondansetron","5","A04AD","4535"
"A04AD09","Granisetron","5","A04AD","4535"
"A04AD10","dronabinol","5","A04AD","4535"
"A04AD11","nabilone","5","A04AD","4535"
"A04AD12","aprepitant","5","A04AD","4535"
"A04AD13","casopitant","5","A04AD","4535"
"A04AD14","rolapitant","5","A04AD","4535"
"A04AD51","scopolamine, combinations","5","A04AD","4535"
"A04AD54","chlorobutanol, combinations","5","A04AD","4535"
"A05","BILE AND LIVER THERAPY","2","A","4535"
"A05A","BILE THERAPY","3","A05","4535"
"A05AA","Bile acids and derivatives","4","A05A","4535"
"A05AA01","chenodeoxycholic acid","5","A05AA","4535"
"A05AA02","ursodeoxycholic acid","5","A05AA","4535"
"A05AA03","cholic acid","5","A05AA","4535"
"A05AA04","obeticholic acid","5","A05AA","4535"
"A05AA05","ursodoxicoltaurine","5","A05AA","4535"
"A05AB","Preparations for biliary tract therapy","4","A05A","4535"
"A05AB01","nicotinyl methylamide","5","A05AB","4535"
"A05AX","Other drugs for bile therapy","4","A05A","4535"
"A05AX01","piprozolin","5","A05AX","4535"
"A05AX02","hymecromone","5","A05AX","4535"
"A05AX03","cyclobutyrol","5","A05AX","4535"
"A05AX04","maralixibat chloride","5","A05AX","4535"
"A05AX05","odevixibat","5","A05AX","4535"
"A05AX06","elafibranor","5","A05AX","4535"
"A05AX07","seladelpar","5","A05AX","4535"
"A05B","LIVER THERAPY, LIPOTROPICS","3","A05","4535"
"A05BA","Liver therapy","4","A05B","4535"
"A05BA01","arginine glutamate","5","A05BA","4535"
"A05BA02","Tioctic acid","5","A05BA","4535"
"A05BA03","silymarin","5","A05BA","4535"
"A05BA04","citiolone","5","A05BA","4535"
"A05BA05","epomediol","5","A05BA","4535"
"A05BA06","ornithine oxoglurate","5","A05BA","4535"
"A05BA07","tidiacic arginine","5","A05BA","4535"
"A05BA08","glycyrrhizic acid","5","A05BA","4535"
"A05BA09","metadoxine","5","A05BA","4535"
"A05BA10","phospholipids","5","A05BA","4535"
"A05C","DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION","3","A05","4535"
"A06","DRUGS FOR CONSTIPATION","2","A","4535"
"A06A","DRUGS FOR CONSTIPATION","3","A06","4535"
"A06AA","Softeners, emollients","4","A06A","4535"
"A06AA01","liquid paraffin","5","A06AA","4535"
"A06AA02","docusate sodium","5","A06AA","4535"
"A06AA51","liquid paraffin, combinations","5","A06AA","4535"
"A06AB","Contact laxatives","4","A06A","4535"
"A06AB01","oxyphenisatine","5","A06AB","4535"
"A06AB02","bisacodyl","5","A06AB","4535"
"A06AB03","dantron","5","A06AB","4535"
"A06AB04","phenolphthalein","5","A06AB","4535"
"A06AB05","castor oil","5","A06AB","4535"
"A06AB06","senna glycosides","5","A06AB","4535"
"A06AB07","cascara","5","A06AB","4535"
"A06AB08","sodium picosulfate","5","A06AB","4535"
"A06AB09","bisoxatin","5","A06AB","4535"
"A06AB20","contact laxatives in combination","5","A06AB","4535"
"A06AB30","contact laxatives in combination with belladonna alkaloids","5","A06AB","4535"
"A06AB52","bisacodyl, combinations","5","A06AB","4535"
"A06AB53","dantron, combinations","5","A06AB","4535"
"A06AB56","senna glycosides, combinations","5","A06AB","4535"
"A06AB57","cascara, combinations","5","A06AB","4535"
"A06AB58","sodium picosulfate, combinations","5","A06AB","4535"
"A06AC","Bulk-forming laxatives","4","A06A","4535"
"A06AC01","ispaghula (psylla seeds)","5","A06AC","4535"
"A06AC02","ethulose","5","A06AC","4535"
"A06AC03","sterculia","5","A06AC","4535"
"A06AC05","linseed","5","A06AC","4535"
"A06AC06","methylcellulose","5","A06AC","4535"
"A06AC07","triticum (wheat fibre)","5","A06AC","4535"
"A06AC08","polycarbophil calcium","5","A06AC","4535"
"A06AC51","ispaghula, combinations","5","A06AC","4535"
"A06AC53","sterculia, combinations","5","A06AC","4535"
"A06AC55","linseed, combinations","5","A06AC","4535"
"A06AD","Osmotically acting laxatives","4","A06A","4535"
"A06AD01","magnesium carbonate","5","A06AD","4535"
"A06AD02","magnesium oxide","5","A06AD","4535"
"A06AD03","magnesium peroxide","5","A06AD","4535"
"A06AD04","magnesium sulfate","5","A06AD","4535"
"A06AD10","mineral salts in combination","5","A06AD","4535"
"A06AD11","lactulose","5","A06AD","4535"
"A06AD12","lactitol","5","A06AD","4535"
"A06AD13","sodium sulfate","5","A06AD","4535"
"A06AD14","pentaerithrityl","5","A06AD","4535"
"A06AD15","macrogol","5","A06AD","4535"
"A06AD16","mannitol","5","A06AD","4535"
"A06AD17","sodium phosphate","5","A06AD","4535"
"A06AD18","sorbitol","5","A06AD","4535"
"A06AD19","magnesium citrate","5","A06AD","4535"
"A06AD21","sodium tartrate","5","A06AD","4535"
"A06AD61","lactulose, combinations","5","A06AD","4535"
"A06AD65","macrogol, combinations","5","A06AD","4535"
"A06AG","Enemas","4","A06A","4535"
"A06AG01","sodium phosphate","5","A06AG","4535"
"A06AG02","bisacodyl","5","A06AG","4535"
"A06AG03","dantron, incl. combinations","5","A06AG","4535"
"A06AG04","glycerol","5","A06AG","4535"
"A06AG06","oil","5","A06AG","4535"
"A06AG07","sorbitol","5","A06AG","4535"
"A06AG10","docusate sodium, incl. combinations","5","A06AG","4535"
"A06AG11","sodium lauryl sulfoacetate, incl. combinations","5","A06AG","4535"
"A06AG20","combinations","5","A06AG","4535"
"A06AH","Peripheral opioid receptor antagonists","4","A06A","4535"
"A06AH01","methylnaltrexone bromide","5","A06AH","4535"
"A06AH02","alvimopan","5","A06AH","4535"
"A06AH03","naloxegol","5","A06AH","4535"
"A06AH04","naloxone","5","A06AH","4535"
"A06AH05","naldemedine","5","A06AH","4535"
"A06AX","Other drugs for constipation","4","A06A","4535"
"A06AX01","glycerol","5","A06AX","4535"
"A06AX02","carbon dioxide producing drugs","5","A06AX","4535"
"A06AX03","lubiprostone","5","A06AX","4535"
"A06AX04","linaclotide","5","A06AX","4535"
"A06AX05","prucalopride","5","A06AX","4535"
"A06AX06","tegaserod","5","A06AX","4535"
"A06AX07","plecanatide","5","A06AX","4535"
"A06AX08","tenapanor","5","A06AX","4535"
"A06AX09","elobixibat","5","A06AX","4535"
"A07","ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS","2","A","4535"
"A07A","INTESTINAL ANTIINFECTIVES","3","A07","4535"
"A07AA","Antibiotics","4","A07A","4535"
"A07AA01","neomycin","5","A07AA","4535"
"A07AA02","nystatin","5","A07AA","4535"
"A07AA03","natamycin","5","A07AA","4535"
"A07AA04","streptomycin","5","A07AA","4535"
"A07AA05","polymyxin B","5","A07AA","4535"
"A07AA06","paromomycin","5","A07AA","4535"
"A07AA07","amphotericin B","5","A07AA","4535"
"A07AA08","kanamycin","5","A07AA","4535"
"A07AA09","vancomycin","5","A07AA","4535"
"A07AA10","colistin","5","A07AA","4535"
"A07AA11","rifaximin","5","A07AA","4535"
"A07AA12","fidaxomicin","5","A07AA","4535"
"A07AA13","rifamycin","5","A07AA","4535"
"A07AA51","neomycin, combinations","5","A07AA","4535"
"A07AA54","streptomycin, combinations","5","A07AA","4535"
"A07AB","Sulfonamides","4","A07A","4535"
"A07AB02","phthalylsulfathiazole","5","A07AB","4535"
"A07AB03","sulfaguanidine","5","A07AB","4535"
"A07AB04","succinylsulfathiazole","5","A07AB","4535"
"A07AC","Imidazole derivatives","4","A07A","4535"
"A07AC01","miconazole","5","A07AC","4535"
"A07AX","Other intestinal antiinfectives","4","A07A","4535"
"A07AX01","broxyquinoline","5","A07AX","4535"
"A07AX02","acetarsol","5","A07AX","4535"
"A07AX03","nifuroxazide","5","A07AX","4535"
"A07AX04","nifurzide","5","A07AX","4535"
"A07B","INTESTINAL ADSORBENTS","3","A07","4535"
"A07BA","Charcoal preparations","4","A07B","4535"
"A07BA01","medicinal charcoal","5","A07BA","4535"
"A07BA51","medicinal charcoal, combinations","5","A07BA","4535"
"A07BB","Bismuth preparations","4","A07B","4535"
"A07BC","Other intestinal adsorbents","4","A07B","4535"
"A07BC01","pectin","5","A07BC","4535"
"A07BC02","kaolin","5","A07BC","4535"
"A07BC03","crospovidone","5","A07BC","4535"
"A07BC04","attapulgite","5","A07BC","4535"
"A07BC05","diosmectite","5","A07BC","4535"
"A07BC30","combinations","5","A07BC","4535"
"A07BC54","attapulgite, combinations","5","A07BC","4535"
"A07C","ELECTROLYTES WITH CARBOHYDRATES","3","A07","4535"
"A07CA","Oral rehydration salt formulations","4","A07C","4535"
"A07D","ANTIPROPULSIVES","3","A07","4535"
"A07DA","Antipropulsives","4","A07D","4535"
"A07DA01","diphenoxylate","5","A07DA","4535"
"A07DA02","opium","5","A07DA","4535"
"A07DA03","loperamide","5","A07DA","4535"
"A07DA04","difenoxin","5","A07DA","4535"
"A07DA05","loperamide oxide","5","A07DA","4535"
"A07DA06","eluxadoline","5","A07DA","4535"
"A07DA52","morphine, combinations","5","A07DA","4535"
"A07DA53","loperamide, combinations","5","A07DA","4535"
"A07E","INTESTINAL ANTIINFLAMMATORY AGENTS","3","A07","4535"
"A07EA","Corticosteroids acting locally","4","A07E","4535"
"A07EA01","prednisolone","5","A07EA","4535"
"A07EA02","hydrocortisone","5","A07EA","4535"
"A07EA03","prednisone","5","A07EA","4535"
"A07EA04","betamethasone","5","A07EA","4535"
"A07EA05","tixocortol","5","A07EA","4535"
"A07EA06","budesonide","5","A07EA","4535"
"A07EA07","beclometasone","5","A07EA","4535"
"A07EB","Antiallergic agents, excl. corticosteroids","4","A07E","4535"
"A07EB01","cromoglicic acid","5","A07EB","4535"
"A07EC","Aminosalicylic acid and similar agents","4","A07E","4535"
"A07EC01","sulfasalazine","5","A07EC","4535"
"A07EC02","mesalazine","5","A07EC","4535"
"A07EC03","olsalazine","5","A07EC","4535"
"A07EC04","balsalazide","5","A07EC","4535"
"A07F","ANTIDIARRHEAL MICROORGANISMS","3","A07","4535"
"A07FA","Antidiarrheal microorganisms","4","A07F","4535"
"A07FA01","lactic acid producing organisms","5","A07FA","4535"
"A07FA02","saccharomyces boulardii","5","A07FA","4535"
"A07FA03","escherichia coli","5","A07FA","4535"
"A07FA51","lactic acid producing organisms, combinations","5","A07FA","4535"
"A07X","OTHER ANTIDIARRHEALS","3","A07","4535"
"A07XA","Other antidiarrheals","4","A07X","4535"
"A07XA01","albumin tannate","5","A07XA","4535"
"A07XA02","ceratonia","5","A07XA","4535"
"A07XA03","calcium compounds","5","A07XA","4535"
"A07XA04","racecadotril","5","A07XA","4535"
"A07XA06","crofelemer","5","A07XA","4535"
"A07XA51","albumin tannate, combinations","5","A07XA","4535"
"A08","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","2","A","4535"
"A08A","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","3","A08","4535"
"A08AA","Centrally acting antiobesity products","4","A08A","4535"
